Address,Average Total cStables in USD,Average cUSD in USD,Average cEUR in USD,Average cREAL in USD,Average cUSD Balance,Average cEUR Balance,Average cREAL Balance
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,7510740.370385488,7510740.370385488,0,0,7532572.919632446,0,0
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,5265607.6140975505,2123169.2439534874,3142438.370144064,0,2138297.8757747146,2976439.269631346,0
0x655133d8e90f8190ed5c1f0f3710f602800c0150,2061978.032865926,206995.0928604786,1854982.9400054477,0,207791.3028720199,1730295.654855104,0
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,1744022.615882298,0,1744022.615882298,0,0,1646116.7809867796,0
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,1715677.1135731472,1445067.72548907,270609.3880840771,0,1450119.5498640006,262370.4397083334,0
0xfa3df877f98ac5ecd87456a7accaa948462412f0,1635761.809179689,1635761.809179689,0,0,1658860.7449602361,0,0
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,1574106.4503881298,1574106.4503881298,0,0,1578138.589157867,0,0
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,1562373.9897049486,0,1562373.9897049486,0,0,1475010.3389101385,0
0xca31c88c2061243d70eb3a754e5d99817a311270,994957.6788226635,994957.6788226635,0,0,1000000.179728947,0,0
0x2962518b087b3ae071ca4d737c7d874af04b2142,979456.2791352132,45807.38139873424,711847.188044759,221801.70969172008,46517.34156109387,689477.6811226285,1122878.4294964934
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,848509.7886404597,5637.944900534977,842871.8437399246,0,5683.892349509947,806409.77148889,0
0xba9c43e14aabe514015c541f088b27251253bf00,727773.0144902561,727773.0144902561,0,0,732558.4215833334,0,0
0x0708501b884f5637159e61566581cd5933e36e21,688037.8098265069,253474.78621062127,434563.0236158857,0,255122.35900544355,410074.6038467414,0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,600452.5383935829,298287.4875115705,302165.0508820124,0,299301.2570574175,284067.0804509537,0
0x918146359264c492bd6934071c6bd31c854edbc3,594431.47369014,594431.47369014,0,0,597443.9039465412,0,0
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,579383.7240712312,317576.188287856,261807.53578337512,0,318806.7667237928,245702.40958255404,0
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,546043.6149778945,546043.6149778945,0,0,547813.095899601,0,0
0x796dff6d74f3e27060b71255fe517bfb23c93eed,495956.7358303389,47993.948275486764,447962.78755485197,0,48357.14807085999,427593.30106994836,0
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,482940.68293712294,288179.7629061091,194760.92003101378,0,289640.27398769197,192202.32271108383,0
0xf89d7b9c864f589bbf53a82105107622b35eaa40,478886.312416927,478886.312416927,0,0,483559.930178558,0,0
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,451337.48707391956,226113.6844427083,225223.80263121123,0,227302.37781825938,211978.3238657736,0
0x7b1eefdc75e5459901addb46a07152005b5fbbf9,422370.4424748333,422370.4424748333,0,0,425163.1583333334,0,0
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,418973.00042777095,0,418973.00042777095,0,0,395841.9629834678,0
0xf93b6e547cb0dc2b7655c84e39f1d2317b71f245,389768.21592183335,389768.21592183335,0,0,391625.8333333333,0,0
0xa5c739df3d8e58ca79a77ec34cfd4d7bea0b8e25,355006.11370981415,228804.82361915288,126201.29009066126,0,230278.04451853049,120520.70395335664,0
0x4f369ee454c77ccf765792382b909ed888c57a47,312831.6082414796,116474.01904113368,196357.58920034592,0,117727.4771666667,182971.39097540293,0
0xaf106f8d4756490e7069027315f4886cc94a8f73,308921.45854373876,250093.70040234146,58827.75814139727,0,251342.67213569535,55300.1852520291,0
0x1e32760a3285550278aeafa776e5641bc581c845,294988.2958728413,294268.5117045798,719.7841682614562,0,295855.4993866104,675.7712428309519,0
0x3df608b001fd2a0b075f0af9c8e7fce8162511c8,275264.3378627627,226239.96883193686,49024.369030825845,0,227758.81393292057,46263.599166666674,0
0xf9979714c5beab995d50a062f4498a4290edef79,262848.6228419523,241915.53511687694,20145.134689984156,787.9530350911855,243248.4976290384,18923.62697249762,3973.219541358861
0xbbbd1bbb4f9b936c3604906d7592a644071de884,220984.72163459833,211693.60482715708,9291.116807441284,0,213002.63369223094,8769.599484380082,0
0x1dc3d671890ddfb3ca622d979467109930440e36,219155.8559269502,0,219155.8559269502,0,0,207728.89229166668,0
0x3dc674fab7eb6e6b3925d02a3d3f566cdae3354f,217683.68387514201,217683.68387514201,0,0,218786.9169036285,0,0
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,184924.9031817829,182550.63307935736,2374.2701024255216,0,183448.89928124205,2227.703205163089,0
0xd533ca259b330c7a88f74e000a3faea2d63b7972,176041.28722139643,392.9583516367552,175648.32886975966,0,394.5188531502834,166671.24874130427,0
0x2de97fafc45bc2ab0a08a1d78069674a18810dcf,167532.38262346867,167532.38262346867,0,0,168303.3418003024,0,0
0x424512429f16bd8c17ab3137341d2cb069bd18db,166948.8309075,166948.8309075,0,0,167834.33333333334,0,0
0xbf120a30a122fe06a2935dbb5c53f127ac270d2e,156682.41643862,156682.41643862,0,0,157478.09499999997,0,0
0xa6314811afbce6d29d7eb4394d8fa583d0fd0363,149243.625,149243.625,0,0,150000,0,0
0xa5f0b4269b3b11f137dabdf654f85d294dc0dce7,144269.29518045,144269.29518045,0,0,145000.46,0,0
0x1d918355014cfff2da56392af32771618a291de8,137447.86646675106,0,0,137447.86646675106,0,0,709537.9166666666
