Address,Average Locked Celo Balance,Average Locked Celo in USD,Contract,Beneficiary
0xb7eb6bbdfa555a1065374b4a1aa2bc446a05f442,17038593.05999904,9798764.110103246,Contract,0xb98ED7262e8167aAC4909c03b06c66d001353564
0x1ee3434e360baaa9f0f693e15aafb2985513177a,16661740.508495366,9585570.263479749,Contract,0x4D9513dc2D5D568bd0947efb046CfE0a772788f4
0x7034589832c20dad66533f53319009bbcf34e45f,14579119.602687802,8356495.42058733,Contract,0xc5E6E15cD620f1bCaf742ddB6932dE40F9644D0D
0x3fa7c646599f3174380bd9a7b6efcde90b5d129d,12499059.611593995,7183870.615940248,,
0xef283eca68de87e051d427b4be152a7403110647,11662245.435091162,6587807.404177363,,
0x7cf091c954ed7e9304452d31fd59999505ddcb7a,10171807.328699663,5737485.612006652,,
0xfc89c17525f08f2bc9ba8cb77bcf05055b1f7059,9935176.51606512,5744348.318673683,,
0xb234e017ad9e29687474196a93d5c7df24415902,9246446.053550078,5313041.568442155,Contract,0x5B2E3392d0fc9A6b31D509A9d613C85E87F4552B
0xa5d2944c32a8d7b284ff0b84c20fdcc46937cf64,9045984.347985545,5151785.947198077,,
0x7ae2f01ab6b6681148b50248d0b99a6abc5a09d5,8729059.17553683,5024683.247400933,Contract,0xd0a6863a9aE360684A7694E4333A2357ce9A415b
0xbdaccf951c8a219fc69ce8f171a61a3ddaefeb39,8675879.718259025,4994051.2337784385,Contract,0xA00256fDF25AD2a6C33d5B3e4d7c73Ab5310c84c
0xef268b5c05452d63a17da12f562368e88a036ef1,8032147.124850153,4620000.744573885,,
0x282f95ada81610be70d7e1e8557f96866404a632,7874842.721687608,4482306.413677032,Contract,self-destructed; look up manually
0xd136f21f87c7d36cc0b488fb9b21d14fa86d27dc,7057424.674838365,4013334.713296429,Contract,self-destructed; look up manually
0xf8ed78a113cd2a34df451ba3d540ffae66829aa0,7005914.456536586,4026759.829059059,,
0x989e1a3b344a43911e02ccc609d469fbc15ab1f1,6914223.92764732,3956992.9382956875,,
0x489dca840aa686cf055c342c165e9358889840de,6720552.2166673085,3862787.475234055,Contract,0x398850b105b4f86dc53990bAF169685A1FE1a42B
0x5c80858a7a1a730ef6e5d1408f4aed1d5512b080,6365167.462918702,3663993.5279428368,Contract,0x044005d79cdcE661F5815600084237b67d70adE2
0xc97e88e4803775e87701eedf5bdef8f4a9c89876,5685847.047406813,3474292.0529517233,Contract,0xD18dEFb1CEAB4559C1d13C9f9907427B791D1bC9
0x1dec9eae55fe9348bc195a57df03f1cd51fe13d1,5376918.381469759,3089364.0899439226,Contract,0x48F6a023ab9c86eEC2149F3D93Ad52632EF3CF59
0xd22eb6784c69d69275e081283f49c9f46c4b86ea,3981672.5890354286,2291966.137859027,Contract,0x724c1431eADa1d9563684b7bA6c9568e70961395
0x62af3bbfbc1c0e4bcb846962ae41c5e959383b67,3911585.8255473846,2130282.9399217367,Contract,0xA78D37410b7423d8595e79e545AD573e5807A3c0
0x244d46d45050e451d0e759b1cfd0b2c08818ca38,3432108.4164844286,1975620.2964857211,Contract,0x75aB4096E7C350617117Ad8D14C8bCDAb4744803
0x7c65c6ab0b31da12e4be4213090caac4db1ae413,3068050.629135215,1671451.866167296,,
0x4aad04d41fd7fd495503731c5a2579e19054c432,2476060.8470966257,1325280.6586395623,Contract,
0x6999d581a65b10d7b33a7cee5a5e06fb58d1d2df,1979874.8745917995,1212670.0144645313,,
0x4f369ee454c77ccf765792382b909ed888c57a47,1920614.4382585553,1124141.3444309402,,
0x1901e33fc0c9da7515d98d0cc152b6f40565189f,1861974.9872185646,1047447.7523125964,Contract,0xC43552CbC962c6e96498f3a1C0f50eF99Ba885e4
0x5e65199b53df629e647e40804d825b9d7728fd3f,1828607.155138829,1223056.2531996719,,
0x7dc2f3edebfb21e7a784ef8954b66fbcd9dee407,1599998.3727697372,920703.8636258043,Contract,0x3e6EC4F14e9e7ffC5044a2401A0Ac023573647E9
0x41692e7f519764558325185db73f44d4e37a606d,1508512.7930412048,868308.6475332632,Contract,0xc9ca585b20e9fc8E8CC2e148351b1b4342175D0A
0x70c657b8fe399e20899789321e3be8413cd71987,1286316.4812168856,743727.0364881909,Contract,0xCEb9Cecc3643C6FEf912eFFb6B22F58c17c29Cc2
0x7b498a5f2ea7f90bb8a75849e42ae26a764e304f,1272512.8821259483,692720.8654610831,,
0x1c810f2aa829c874974ec449a965c6e5dbb301b8,1239333.297700625,665790.1502391053,Contract,0xcc28f7E7E128b80F2eA21Da98132c98617673487
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,1209111.5114681886,692809.6413144069,,
0x9033ff75af27222c8f36a148800c7331581933f3,1201530.160709511,672641.7069332357,,
0x73d7425f496e13622cb974957d10354b5e690ae9,1121338.7397375128,610431.6450714811,,
0x55b6a4a52f6aec803225456c6f7a9e9fe7d5c151,1117658.6231419805,608428.2721852548,,
0xa21112df21627887d6c19fe604c6b1ca1617ed5b,1103974.279306537,635483.115795239,Contract,0x85DE8453f0483b1e3a7AfdA3046a415d4D1f2666
0xd7aec34bef3596da90cf400b9fbb3521b23c6e16,1103688.5203953178,635321.6558506781,Contract,0xc4f67f281A04f2E4dfA95DDE0288079AcaC551C2
0x2268c440b7557a7d199976835daee17b4a59a597,1103537.3337950546,635233.2198327552,Contract,0xE532fA2203CABd5eA1C823C97A7f803DCf194239
0x3c9e737a5c8196a9a2195497f47c460896d8d969,1103524.9130177991,635229.8256877768,Contract,0x7B1d0D006a62Bc39551797317a481e65A1c7d294
0xe570bee58d7a53a30f21a747d6e7ce0f85b38ac8,1103352.2227211134,635124.234918661,Contract,0x984C56194F2456E19af70bE1E55c30F16d645B9e
0x0f4c32ebfd5ab18c28f17a2242d80f50e5f33b0d,1103279.6783128926,635082.2672340514,Contract,0x4Faa15c16e54C29D20E8aEb539c0Df25cB5deD7F
0x151d81ae1709e52a0356138e221a0bc60b283114,1102563.701948926,634669.5391128304,Contract,0x24f6dcaf003d0f35158D4c67c7Fe432057485da0
0x28a62d2f5f319eae85421d2c783620f00eaa792e,1100595.8866322134,633500.0076389677,Contract,0xC728bCe5b1D1c0a3441f2Bc02CADFa067014b89d
0xebe9c48d7fe2238c8dcb44472accbe63380a9ae4,1098649.8019448756,632423.4454784642,Contract,0x4670F4111bE6ADB4C778a118e595FBbcfd94c12C
0xbd5cac2afcc30d2c32e7a1afdfa85e5f6bb22f98,1072825.4454638695,584016.5404288992,,
0xf00eb5e591dd4f23df2ce92ab3ef0948281bb67d,1066321.7803573366,613780.5174648354,Contract,0xdcef0AA074BF91e8089EfB2A5C961fa808a2a2E1
0x093b5b468272132b2fc5484f9b7ba167b37e0447,1065543.980581006,580052.1169594409,,
0x2f0d3b6bbfb7affbfbe206259578a8f3c24d1df5,1051908.4310381878,615673.7790306367,,
0xdcce2b585f3d15bc31925566121108dcfe819e48,1027157.4685396241,591185.3989959097,,
0x70a9f34b9c6e94cbb3eacdf262cee0831f10a78b,970819.882957417,558860.003949419,Contract,0x8C6909F1bdDE2E6B54200F7c37a2348bc216E321
0xefc4c433061298417f6640f156bdc26e9cb5f584,945800.1094790443,514872.3541587689,,
0xdae1391ba9a9b67e6fe2c25f358c4ca3b3ffed93,941756.7805363298,542107.7052206948,,
0x4f49794a4fd42bab26a1740ca9c48022dd5ee21f,911812.9717907838,511860.13653425535,,
0xca7503a623b800713fe627d7b71ae6bf27596384,910908.5485235887,495873.453976323,,
0x6e14a03418c3cee8d09844348ce7e37c93ffaf5a,856881.1713038745,466466.8797157972,,
0x893745c8970007f87f27b2a874c6e984437a83de,829136.9297710985,477299.1115474728,Contract,0x8a2a74E7905cE9E2Cb7E4F1dd1467c764c1c141d
0x0ed27270c4914877bf2a6cb3abf4ca493117acb8,814926.229688464,469088.24180501245,Contract,0xA2a26D5f36FFcD186F23168872ecb96f1409635A
0x4de2ff913645c4aab35f224083f3b6d34891ccf1,794645.9640831188,432583.31424917706,,
0x2d0078cbf9026856ea5a0fc54dd78e10da83c633,746735.8636224471,415736.85273827414,Contract,self-destructed; look up manually
0x0574619967528f41900698e93c21d90fd564e8aa,725272.0115603768,438390.8838821105,,
0xd10a18a25f6d3ab1d1ab6de4a5684eca500f7322,698594.118107853,391197.2456162414,,
0x4385bf4e4ae27700c4a055836e1f16e9a2a81176,694895.055726096,400009.2806210051,,
0xad2e7bd0555a418a4ce9f069a17fada47a741657,690754.119944115,528477.2831359613,,
0xd5f53937886be426b9227d4413f5aea08062c145,659861.6419517533,358639.96236073767,,
0x0a4dfffc51a8f8588e59c51fee29df42d2364bda,655714.4589197752,375344.4337687994,Contract,0xbbF31c4E778975EE2400B49802074b0c257DdeA0
0xaae9f9850a2f742fada295cb5816463fa59e8f5a,654968.7153389549,378725.8710720804,Contract,self-destructed; look up manually
0x3ce03f17a9c6ecec6674efbd4e3e9adf7094ce96,634791.3843714343,345566.1838007705,,
0x3052ce520943779d70f21d4a1a7b0bcbb5d24c0b,625735.8930283327,340636.57753496536,,
0xa22089ea702269b5bc4b49ab404df9532741a922,619930.2044242705,356835.3943379215,Contract,0xac7cC72ccC8Bd8Cc0058F479586E0a9FFf9239da
0x613629cdf3cef733016c7801eae9ccb5da652645,606363.059550175,349456.2586290491,Contract,0x3c2C16D4ed06d70193dc8CfC35ECeb476add2e7F
0xf62c998253dd5d75bd7fc4311d8df21ab15c70d5,600157.5422559036,345462.983085553,Contract,0x08e595D0aFf85Bdf0e378A8A37D313A71B7E897E
0x6d43609bf7c7b1b0e1f29d6b1922e23d3a37ec39,596269.0889607888,349989.00902773807,Contract,0xe2a9C1943c061202e992a61F7fDE6792b9B0d53a
0xcb063993fcb57986763166c56b9501e21327f6ce,577975.797346062,332709.81688951823,Contract,0xDA9b3cDc181b7b956447B6199C374314A4321C79
0xa94d1fca8c5583396601dbb02d12615e6f4859bd,571174.5761663587,327923.0023120432,Contract,0x46B83485cC4845eaFA5616632E30728D0A6AA4E8
0xe3ebdd53c52d0619db96554bc51110d828228b4d,548308.7534162025,304401.20447973046,Contract,0x38fE2976f8923BFDA7BF5Af7d457b2409e6AD298
0x3dbd15c29bcde617df3c4611b8c127108e5a667a,547271.2457189352,297987.2450207232,Contract,self-destructed; look up manually
0x99fd11191c8de6e6f90935a848d6003007dbaf7a,523974.7142022561,302980.54764029034,Contract,self-destructed; look up manually
0x43720c8db4c2e4ca7fa4f5709af36988bc1482ec,488218.74062686873,277393.01971183246,Contract,0xbF6b7a1368Df0aC2FbF408f30bcA898215E8C9A7
0x19049ceb58d5d0ca360fb5f6c46e9ee43b6accd3,449871.8200247805,232815.20106872421,Contract,0x0d23A4F97a9a59ef09cB1Ce8422a25292b3674E6
0xa785fe4cdecccfed5a50e9e05a71280c5ef8f416,448961.5519799825,343053.3177141126,,
0xddccf2341e4503af58788e7f71f82f69a0c65402,429844.46693476185,242278.2515758982,,
0x5dfe79c1aa3046d92f1d208677d9a862903e7c65,424084.38345399563,244116.0233749202,,
0xc86b2257a32dd69c1d45f273c6424ce3015601b1,422918.5818493099,243445.04924437637,,
0xeecd433a5c357fb25a81b688d5fcec1bec09fa7c,408441.43746252166,235111.00656987357,,
0xe2b40fa787ba180a1b79d6c1343cc9403b7adbb7,405826.56574701995,235192.51451914766,,
0x67f09c27016f87ce5737782a684da673b526d12e,405343.1334804901,234931.91298593683,,
0x9ad2afcf9f7d4625880a415cafb179b05e940579,400946.8567083992,230797.67265963403,Contract,0x4C74fb5bD7d246bb4c461f223627D784b417E557
0x8053d7d0365287126f6e5dcbf87fbca0b1f1c52b,359331.1679098165,196112.67383354844,,
0x72e332dac7abea59bf1f9e5fda58151a506cb978,354698.9459862552,194508.77370755302,,
0x65da263720ec6819ea84302161b571a7281710e5,354365.32991143636,203993.15377693917,Contract,0x3987582bC44744652A95ae030aDF17c49A6DE9Eb
0x33020296a0da7c897d2d6dadef5fecebe2667ad7,346691.3709344937,265244.23838659294,Contract,0x8c7510C66f1BbF8f700a2665c898b3FB77550E38
0xff823e033adb6dd120333ced6c0e846d700e548a,346325.4923083769,195754.60055227327,,
0x9605fbd9c8fbf7344485d38320a05cc392d5761e,341188.7037116557,196393.18584176985,Contract,0xa16Df1f36897406fEFF1fba435D67174b7EE5c64
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,329527.50574381865,183903.98873554915,Contract,
0xc4e6c30e31fbe825bed5d0f03a4612badd743fb8,318692.1632246283,183449.27347965812,Contract,0xa26F09F5d5ae5475577737F19c9763A94A7f82D6
