Address,Average Total cStables in USD,Average cUSD in USD,Average cEUR in USD,Average cREAL in USD,Average cUSD Balance,Average cEUR Balance,Average cREAL Balance
0xdadbd6cfb29b054adc9c4c2ef0f21f0bbdb44871,425436.01997792424,425436.01997792424,0,0,427779.736978161,0,0
0x35ae10f412503abcf9275133613e8df7f56e72be,151340.16717399334,151340.16717399334,0,0,152100.3605583645,0,0
0x4da92da1afbf103f2b52dd29326e34c98ca1e78c,124188.16195610327,124188.16195610327,0,0,124711.20576380561,0,0
0x602b65795bcc64b2fb329ac004236e194f077158,112969.9489727032,112969.9489727032,0,0,113516.44715277926,0,0
0x0e912990472bfe5948b5b7333ecf528d5da887cf,91368.20919550181,91368.20919550181,0,0,91785.24457700715,0,0
0x69cd274c6acbc08f664ed7b2d54aab6615bc1d70,70732.55406907729,70626.21481074396,106.33925833333332,0,70954.5660772042,100,0
0x47b2db6af05a55d42ed0f3731735f9479abf0673,61093.98982022747,61093.98982022747,0,0,61612.04626763063,0,0
0xbf55df76204f00acf296f76cf4aaf86a866a5eb0,57092.78814960758,57092.78814960758,0,0,57367.754961189035,0,0
0xa432da0ed5a2c15cbc681227ccec3b375908fdcb,53628.09838073881,53628.09838073881,0,0,53862.549949503235,0,0
0x7dbb949346aeda9233218831455d57eb8344af82,52485.54649883622,52485.54649883622,0,0,52892.67153864749,0,0
0xd19fb36b7f433fe13820767ef6d0e26fdbab68cc,50625.85394551735,50625.85394551735,0,0,50900.68571945908,0,0
0xc24baeac0fd189637112b7e33d22fff2730af993,43649.49891667132,43649.49891667132,0,0,43908.79504047049,0,0
0x9eb1d96b5f0bdd3114ea1461182c688178ae6c4c,43384.03701734311,43384.03701734311,0,0,43739.9604667109,0,0
0x89d5bd54c43ddd10905a030de6ff02ebb6c51654,33459.32620287142,33459.32620287142,0,0,33710.77291003959,0,0
0x0861a61bf679a30680510ecc238ee43b82c5e843,18583.250006583243,18583.250006583243,0,0,18636.50068790808,0,0
0x614b7654ba0cc6000abe526779911b70c1f7125a,17827.29250896937,17827.29250896937,0,0,17913.443572179316,0,0
0xc764293de02189e248a8040a3d1b04eec599aa31,17646.71916577213,17646.71916577213,0,0,17736.153720909813,0,0
0x5402172e972b31fc9f0383f53f45823ab5037379,16287.208652215786,16287.208652215786,0,0,16365.614768556712,0,0
0x8a12cab622b8093208931fa008d12d6ba5af47e4,15727.612015531886,15727.612015531886,0,0,15813.164662326597,0,0
0x6f8e6ff69935f000b09d182a4739342faeaf0c77,14447.274335385488,14447.274335385488,0,0,14548.791320538208,0,0
0x7194dfe766a92308880a943fd70f31c8e7c50e66,13434.832952553923,13434.832952553923,0,0,13498.6888592822,0,0
0x81383e7c8801b102f742f4f5a5fad06867212b05,12434.502767637272,12434.502767637272,0,0,12511.814580474595,0,0
0xb35be22bccb0db9dc62967dcf15feb97c20f854e,10484.087280868982,10484.087280868982,0,0,10534.620697851286,0,0
0x15ed3f6b79f5fb9ef1d99d37314dd626b3005f0b,10145.80361275414,10145.80361275414,0,0,10193.566263791849,0,0
0x34649ada2cb44d851a2103feaa8922deddabfc1c,10078.2116207435,10078.2116207435,0,0,10156.098234663066,0,0
0x98c62d86634bb0e3f818efc550e2f33369eae7f3,8594.539992956119,8594.539992956119,0,0,8648.96117973315,0,0
0x81cef0668e15639d0b101bdc3067699309d73bed,8289.370379425107,8289.370379425107,0,0,8339.004097890958,0,0
0x7c75b0b81a54359e9dccda9cb663ca2e3de6b710,6194.139531301754,6194.139531301754,0,0,6230.9589493171325,0,0
0x4a34787893c8e26411be77259fe7fa184d471d9a,6057.585140741704,6057.585140741704,0,0,6080.143137260013,0,0
0x2fd49e97262d505fd76bb6e0e06ec10e1fd54589,5751.014311459134,5751.014311459134,0,0,5775.913775740497,0,0
0xf83c93ea360b66ddcd532960304948b1c10786a1,5506.526846622299,5506.526846622299,0,0,5564.403755532653,0,0
0x2c2b0f71d59b546b2cafd222696589c13c3c325c,5458.949850023736,5458.949850023736,0,0,5543.663258545719,0,0
0x0d4f8cea48cdadeae345431577a64983c0535b12,5302.0139223067235,5302.0139223067235,0,0,5328.9001146683295,0,0
0xe075ba4b1dcaf75513118d7aa08a057c658842c9,5002.769273378616,5002.769273378616,0,0,5028.806342918054,0,0
0x70fc0b021dfdbb9a106d1ed8f35f59d3f23ecb7b,4105.530857462464,4105.530857462464,0,0,4121.456390499226,0,0
0x249a6b2b260000b08f50a2480e2d703baf02e8be,4102.406465262847,4102.406465262847,0,0,4123.197689612718,0,0
0x3dcf2ed8dc84a63ffd2bfdc3cdb2fa0b1aeafe5c,4024.84046555157,4024.84046555157,0,0,4065.354404376724,0,0
0x3753096ad5e8e390c05324b9ca2b1856a3182b48,3956.9979332926837,3956.9979332926837,0,0,3973.5973050441007,0,0
0xb33e9e01e561a1da60f7cb42508500e571afb6eb,3804.28705917725,3804.28705917725,0,0,3817.8152180080483,0,0
0xd72ed2e3db984bac3bb351fe652200de527effcf,3744.129080207638,3744.129080207638,0,0,3765.089331840553,0,0
0x1d083becfaac301b4b845d0e5b80a9da5f6de946,2671.359196251751,2671.359196251751,0,0,2681.2235951329353,0,0
0x8580db53c3ebc56230662b771cef2707e92ef83a,2584.6876821821766,2584.6876821821766,0,0,2594.254885497868,0,0
0x067e453918f2c44d937b05a7ee9dbfb804c54add,2281.8780813876106,2281.8780813876106,0,0,2291.8294027947054,0,0
0xcc4b2bcbbc9639ef1e91f47acfd12bd131525e79,2212.18077410873,2212.18077410873,0,0,2221.1705380626963,0,0
