Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance,Snapshot Date
0xdadbd6cfb29b054adc9c4c2ef0f21f0bbdb44871,554552.8191140811,554552.8191140811,0,0,556726.2785053661,0,0,2023-06-15 
0x35ae10f412503abcf9275133613e8df7f56e72be,216224.2077075501,216224.2077075501,0,0,217071.65545042857,0,0,2023-06-15 
0x4da92da1afbf103f2b52dd29326e34c98ca1e78c,134556.78698746534,134556.78698746534,0,0,135084.15553065704,0,0,2023-06-15 
0x602b65795bcc64b2fb329ac004236e194f077158,122283.58746361929,122283.58746361929,0,0,122762.85364424642,0,0,2023-06-15 
0x0e912990472bfe5948b5b7333ecf528d5da887cf,95660.73812796347,95660.73812796347,0,0,96035.66134987338,0,0,2023-06-15 
0x69cd274c6acbc08f664ed7b2d54aab6615bc1d70,75710.27387393995,75604.63197393995,105.64189999999999,0,75900.9492799288,100,0,2023-06-15 
0xa432da0ed5a2c15cbc681227ccec3b375908fdcb,74784.58712463336,74784.58712463336,0,0,75077.69042806452,0,0,2023-06-15 
0xd19fb36b7f433fe13820767ef6d0e26fdbab68cc,72194.9787864206,72194.9787864206,0,0,72477.93263542932,0,0,2023-06-15 
0xc24baeac0fd189637112b7e33d22fff2730af993,71356.73783385796,71356.73783385796,0,0,71636.4063643042,0,0,2023-06-15 
0xbf55df76204f00acf296f76cf4aaf86a866a5eb0,62682.296356231986,62682.296356231986,0,0,62927.96713994634,0,0,2023-06-15 
0x0861a61bf679a30680510ecc238ee43b82c5e843,23567.86095803177,23567.86095803177,0,0,23660.230497895558,0,0,2023-06-15 
0x614b7654ba0cc6000abe526779911b70c1f7125a,18445.314682050473,18445.314682050473,0,0,18517.607421423712,0,0,2023-06-15 
0xc764293de02189e248a8040a3d1b04eec599aa31,17666.91177678338,17666.91177678338,0,0,17736.153720909813,0,0,2023-06-15 
0x5402172e972b31fc9f0383f53f45823ab5037379,16899.307536749653,16899.307536749653,0,0,16965.5410088482,0,0,2023-06-15 
0x8a12cab622b8093208931fa008d12d6ba5af47e4,14473.537803875219,14473.537803875219,0,0,14530.263954353013,0,0,2023-06-15 
0x7194dfe766a92308880a943fd70f31c8e7c50e66,14043.178610451594,14043.178610451594,0,0,14098.21805373337,0,0,2023-06-15 
0x7dbb949346aeda9233218831455d57eb8344af82,13548.642199139418,13548.642199139418,0,0,13601.743405394076,0,0,2023-06-15 
0x7c75b0b81a54359e9dccda9cb663ca2e3de6b710,13534.935178454685,13534.935178454685,0,0,13587.98266277014,0,0,2023-06-15 
0x81383e7c8801b102f742f4f5a5fad06867212b05,13369.97482544768,13369.97482544768,0,0,13422.37578049473,0,0,2023-06-15 
0x81cef0668e15639d0b101bdc3067699309d73bed,13234.556478981029,13234.556478981029,0,0,13286.426688774003,0,0,2023-06-15 
0x47b2db6af05a55d42ed0f3731735f9479abf0673,13186.168815131901,13186.168815131901,0,0,13237.849379107938,0,0,2023-06-15 
0x15ed3f6b79f5fb9ef1d99d37314dd626b3005f0b,12626.171111275054,12626.171111275054,0,0,12675.656875717857,0,0,2023-06-15 
0x9eb1d96b5f0bdd3114ea1461182c688178ae6c4c,10471.251802612167,10471.251802612167,0,0,10512.291789759387,0,0,2023-06-15 
0x6f8e6ff69935f000b09d182a4739342faeaf0c77,9830.57397888442,9830.57397888442,0,0,9869.102956827877,0,0,2023-06-15 
0x89d5bd54c43ddd10905a030de6ff02ebb6c51654,8548.934686663308,8548.934686663308,0,0,8582.440534510035,0,0,2023-06-15 
0xe075ba4b1dcaf75513118d7aa08a057c658842c9,6926.376939675268,6926.376939675268,0,0,6953.523495401315,0,0,2023-06-15 
0x2fd49e97262d505fd76bb6e0e06ec10e1fd54589,6352.619063848017,6352.619063848017,0,0,6377.51688978574,0,0,2023-06-15 
0xd72ed2e3db984bac3bb351fe652200de527effcf,6122.392427735184,6122.392427735184,0,0,6146.387926199066,0,0,2023-06-15 
0x4a34787893c8e26411be77259fe7fa184d471d9a,4955.411310006593,4955.411310006593,0,0,4974.833058266064,0,0,2023-06-15 
0x1d083becfaac301b4b845d0e5b80a9da5f6de946,4781.690164525616,4781.690164525616,0,0,4800.431047334409,0,0,2023-06-15 
0x3753096ad5e8e390c05324b9ca2b1856a3182b48,4459.409038210636,4459.409038210636,0,0,4476.886804294602,0,0,2023-06-15 
0x249a6b2b260000b08f50a2480e2d703baf02e8be,4107.100725832471,4107.100725832471,0,0,4123.197689612719,0,0,2023-06-15 
0x0d4f8cea48cdadeae345431577a64983c0535b12,3793.5150602551635,3793.5150602551635,0,0,3808.3829874381217,0,0,2023-06-15 
0x34649ada2cb44d851a2103feaa8922deddabfc1c,3109.965117998377,3109.965117998377,0,0,3122.1540072426524,0,0,2023-06-15 
0x8580db53c3ebc56230662b771cef2707e92ef83a,3096.1257841685333,3096.1257841685333,0,0,3108.2604328985694,0,0,2023-06-15 
0xb33e9e01e561a1da60f7cb42508500e571afb6eb,2712.8977975959792,2712.8977975959792,0,0,2723.5304605138253,0,0,2023-06-15 
0x21fb4411fa5828344c2788ab07d4cc12a12571b9,2314.0347694903476,2314.0347694903476,0,0,2323.1041681628553,0,0,2023-06-15 
0x8851f4852ce427191dc8d9065d720619889e3260,2224.886131716005,2224.886131716005,0,0,2233.6061300477113,0,0,2023-06-15 
0x067e453918f2c44d937b05a7ee9dbfb804c54add,2022.9107063708996,2022.9107063708996,0,0,2030.8391022259898,0,0,2023-06-15 
0x0f66619058bb9675f3d394fcc2ce236a29901571,2017.1611349379757,2017.1611349379757,0,0,2025.0669964922815,0,0,2023-06-15 
0x3dcf2ed8dc84a63ffd2bfdc3cdb2fa0b1aeafe5c,1932.011651291444,1932.011651291444,0,0,1939.5837863935244,0,0,2023-06-15 
0x2af540161cbeb58fdc99b159c76e390598860510,1661.180504548885,1661.180504548885,0,0,1667.6911708800005,0,0,2023-06-15 
0x81ae1c73a326325216e25ff1af9ea3871195036e,1613.6644567920307,1613.6644567920307,0,0,1619.9888934319893,0,0,2023-06-15 
0xcc4b2bcbbc9639ef1e91f47acfd12bd131525e79,1442.6783635467698,1442.6783635467698,0,0,1448.3326542288794,0,0,2023-06-15 
0xb35be22bccb0db9dc62967dcf15feb97c20f854e,1301.845550243161,1301.845550243161,0,0,1306.9478747461699,0,0,2023-06-15 
0x061e9958028dcaa66fd8b255ad95194203b6c4da,1170.1494971589107,1170.1494971589107,0,0,1174.7356651958353,0,0,2023-06-15 
0xb87f2354e34b26ba6406ac60ea99dcd8cd5e63bf,943.1071538515451,943.1071538515451,0,0,946.8034746164478,0,0,2023-06-15 
0x71dcc67baeecd9308e341359f70b782d9c3565b8,918.9879137568834,918.9879137568834,0,0,922.5897039611477,0,0,2023-06-15 
0xb434feb47d6154b4b4058df5c9fced123db9abf6,897.6620122016734,897.6620122016734,0,0,901.1802197796933,0,0,2023-06-15 
0x7e11e85faa97652623929c9677e442e219ce0bbd,799.5041893990839,799.5041893990839,0,0,802.6376869288541,0,0,2023-06-15 
0x6cf4bb9ff947610944c6d8e0e5ea26b1dea73196,734.7999112689492,734.7999112689492,0,0,737.6798132599159,0,0,2023-06-15 
0xf83c93ea360b66ddcd532960304948b1c10786a1,704.7835943778027,704.7835943778027,0,0,707.5458533894351,0,0,2023-06-15 
0x8eb004dad9397b8f23e1279905c584920000756d,471.0772486734968,471.0772486734968,0,0,472.923542182176,0,0,2023-06-15 
0xc64df5be250264bf2888591d87cdeb13bfadc501,451.61551486073523,451.61551486073523,0,0,453.3855319775757,0,0,2023-06-15 
0xbb59448319755708d06dacaac017308129fffdbb,386.36095785750393,386.36095785750393,0,0,387.8752227270303,0,0,2023-06-15 
0x2c2b0f71d59b546b2cafd222696589c13c3c325c,384.3137223230412,384.3137223230412,0,0,385.81996346039057,0,0,2023-06-15 
0x07fa1874ad4655ad0c763a7876503509be11e29e,384.13279922388995,379.80148132388996,4.331317899999999,0,381.2900376308006,4.1,0,2023-06-15 
0xd25c6a9fef4744e8d4f90bf6bdfaf7686909d799,376.90755505229873,376.90755505229873,0,0,378.38476919122127,0,0,2023-06-15 
0x4d5a51039ea45063d4b665b21755db20a738dadc,221.92338806851112,221.92338806851112,0,0,222.79317261439772,0,0,2023-06-15 
0xc7d5409fee80b3ac37dbc111664dc511a5982469,128.9531166797084,128.9531166797084,0,0,129.4585227525343,0,0,2023-06-15 
0x95ae59515915d6c493a846ae022f93726652b50a,120.69834564885983,120.69834564885983,0,0,121.17139878973495,0,0,2023-06-15 
0x70fc0b021dfdbb9a106d1ed8f35f59d3f23ecb7b,116.44933693954279,116.44933693954279,0,0,116.90573693654305,0,0,2023-06-15 
0x98c62d86634bb0e3f818efc550e2f33369eae7f3,107.9384677651594,107.9384677651594,0,0,108.36151110451142,0,0,2023-06-15 
0x3d451dd723797b3de938c5b22412032b6452591a,63.147609329116186,63.147609329116186,0,0,63.39510381440763,0,0,2023-06-15 
0x580f29ab04b7ed4e5aa86584d38c9317d9cf0358,11.550732626421345,11.550732626421345,0,0,11.596003423787813,0,0,2023-06-15 
0x869b7f65801e75f087a493d9d3c8022dcf964b1f,1.616114938775511,1.616114938775511,0,0,1.6224489795918375,0,0,2023-06-15 
0xfaa0b40645ee5e8d9ae38393e8cdf8e5baa71d13,0.996096,0.996096,0,0,1,0,0,2023-06-15 
0x01b2b83fdf26afc3ca7062c35bc68c8dde56db04,0.40215497352893737,0.40215497352893737,0,0,0.4037311398991035,0,0,2023-06-15 
0xa1e923892df867fb5cb7575cca2538c394ad1bd9,0.36852232208891256,0.36852232208891256,0,0,0.36996667197630806,0,0,2023-06-15 
0x8493bd3de67ac341d4cc11531f96a1a2cdbf29ad,0.31675359800884817,0,0.31675359800884817,0,0,0.29983708926936015,0,2023-06-15 
