Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,8.646406403983098e+06,8.646406403983098e+06,0,0,8.666625641604962e+06,,
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,3.692485353829197e+06,1.7321666503656171e+06,1.96031870346358e+06,0,1.7362172451986657e+06,1.803183852964679e+06,
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,2.3339717514297096e+06,0,2.3339717514297096e+06,0,,2.146885691606081e+06,
0x655133d8e90f8190ed5c1f0f3710f602800c0150,2.014325923301657e+06,0,2.014325923301657e+06,0,,1.852861972437533e+06,
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,1.9956928254532525e+06,0,1.9956928254532525e+06,0,,1.835722462871262e+06,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,1.8524741141298017e+06,856017.5426055756,996456.5715242261,0,858019.3016362932,916582.7968576591,
0xba9c43e14aabe514015c541f088b27251253bf00,1.4982826689769456e+06,1.4982826689769456e+06,0,0,1.5017863365000002e+06,,
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,1.19190838514187e+06,1.19190838514187e+06,0,0,1.19469561e+06,,
0xca31c88c2061243d70eb3a754e5d99817a311270,997667.179309639,997667.179309639,0,0,1.0000001797289466e+06,,
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,867631.764906521,867631.764906521,0,0,869660.6832806147,,
0x1e32760a3285550278aeafa776e5641bc581c845,803119.7365748135,802673.4945157783,446.2420590352822,0,804550.5108576091,410.4722736891855,
0x0708501b884f5637159e61566581cd5933e36e21,783927.8715070788,485065.83262747555,298862.0388796032,0,486200.13754837593,274905.91291081597,
0x7b1eefdc75e5459901addb46a07152005b5fbbf9,727150.2913168999,727150.2913168999,0,0,728850.7,,
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,607043.2104604165,486097.3802488085,120945.83021160803,0,487234.09739803814,111251.07755981323,
0xa5c739df3d8e58ca79a77ec34cfd4d7bea0b8e25,602452.4137292296,547318.9209946966,55133.49273453306,0,548598.8019997621,50714.112802578005,
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,578586.5842356785,578586.5842356785,0,0,579939.5832834789,,
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,456642.261613099,229095.1415645802,227547.12004851882,0,229630.87038518887,209307.44165994614,
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,423706.4882057462,0,423706.4882057462,0,,389743.10482222325,
0x918146359264c492bd6934071c6bd31c854edbc3,418488.787966338,418488.787966338,0,0,419467.4054231903,,
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,352578.9024628179,0,352578.9024628179,0,,324316.95044977334,
0xaf106f8d4756490e7069027315f4886cc94a8f73,325167.1158694408,278735.7382208109,46431.377648629896,0,279387.5493734993,42709.54018802485,
0xf9979714c5beab995d50a062f4498a4290edef79,320784.24506595655,298938.10979016166,21037.09406879136,809.0412070035468,299637.1632921222,19350.80671888736,3973.2195413588597
0x4f369ee454c77ccf765792382b909ed888c57a47,319470.17288707,15139.91597844,304330.25690862996,0,15175.32,279935.8105682785,
0xba6bfae542ce758f58183ecd7d019a346693cf89,289205.62143720425,111548.89097548336,177656.7304617209,0,111809.74310615001,163416.156349,
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,288964.54322847875,288964.54322847875,0,0,289640.273987692,,
0x2962518b087b3ae071ca4d737c7d874af04b2142,263571.4855680669,0,41537.7155499807,222033.7700180862,,38208.14331691479,1.0904128321779924e+06
0xf89d7b9c864f589bbf53a82105107622b35eaa40,254231.841560152,254231.841560152,0,0,254826.351438057,,
0xd108165e54ba435102f965f15ca5dd3101fcd1a9,249915.58349999998,249915.58349999998,0,0,250500,,
0x3df608b001fd2a0b075f0af9c8e7fce8162511c8,232246.9256122135,149735.67458402348,82511.25102819,0,150085.82481331294,75897.33,
0x3dc674fab7eb6e6b3925d02a3d3f566cdae3354f,218276.48702649234,218276.48702649234,0,0,218786.9169036285,,
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,216072.7166031062,213564.03098934836,2508.6856137578434,0,214063.44099719482,2307.594873680687,
0xbbbd1bbb4f9b936c3604906d7592a644071de884,197861.47717274024,192934.12126524668,4927.355907493552,0,193385.28914482155,4532.389858090014,
0x424512429f16bd8c17ab3137341d2cb069bd18db,188659.827367,188659.827367,0,0,189101,,
0xd04ce1a37798ff25104b1de4e065c586b08d48e8,181385.75518402658,127316.15747944683,54069.597704579755,0,127613.88066303369,49735.49726630237,
0x46c5cfc2079309f4e7d9476a01730a60e2f1a164,176300.20167563087,176300.20167563087,0,0,176712.47187250946,,
0x2de97fafc45bc2ab0a08a1d78069674a18810dcf,165936.72752911708,165936.72752911708,0,0,166324.76320166656,,
0xbf120a30a122fe06a2935dbb5c53f127ac270d2e,156966.07180771,156966.07180771,0,0,157333.13,,
0x1d918355014cfff2da56392af32771618a291de8,150171.63034905624,0,0,150171.63034905624,,,737496.25
0xa6314811afbce6d29d7eb4394d8fa583d0fd0363,149650.05,149650.05,0,0,150000,,
0xa5f0b4269b3b11f137dabdf654f85d294dc0dce7,144662.17392682,144662.17392682,0,0,145000.46,,
0x7da99753ff017f1b7afb2c8c0542718dc9f15f21,132114.3602080809,132114.3602080809,0,0,132423.30377578983,,
0xddccf2341e4503af58788e7f71f82f69a0c65402,130990.38479889998,130990.38479889998,0,0,131296.69999999998,,
0x796dff6d74f3e27060b71255fe517bfb23c93eed,125927.19445738036,199.42212057200345,125727.77233680835,0,199.88846035,115649.70968567001,
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,121300.19056065092,121300.19056065092,0,0,121583.84567260512,,
0x14834ac9e4723ce9146dda7e31bd4c42c639c09f,119324.36626946038,119324.36626946038,0,0,119603.40100400272,,
