Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,1.0691469583429521e+07,1.0691469583429521e+07,0,0,1.0710008608330542e+07,,
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,3.6367873872322105e+06,1.6342254956452267e+06,2.0025618915869836e+06,0,1.6370592451986657e+06,1.803183852964679e+06,
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,3.2507158400122025e+06,3.0400528658676813e+06,210662.97414452102,0,3.04532432226953e+06,189689.0553,
0x655133d8e90f8190ed5c1f0f3710f602800c0150,3.1417784813945354e+06,168693.48216746814,2.9730849992270675e+06,0,168985.99692815077,2.6770802373799644e+06,
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,2.5596917724493705e+06,2.5596917724493705e+06,0,0,2.5641302819674565e+06,,
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,1.1111280201909374e+06,0,1.1111280201909374e+06,0,,1.000502462871262e+06,
0xca31c88c2061243d70eb3a754e5d99817a311270,998269.1794178358,998269.1794178358,0,0,1.0000001797289466e+06,,
0x918146359264c492bd6934071c6bd31c854edbc3,982336.1562943374,982336.1562943374,0,0,984039.5287185492,,
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,874920.3152012948,874920.3152012948,0,0,876437.4283898377,,
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,665537.2776260406,0,665537.2776260406,0,,599275.3969817667,
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,610235.8707454917,607367.1716441745,2868.699101317235,0,608420.3472652907,2583.0871546298163,
0x0708501b884f5637159e61566581cd5933e36e21,603972.9927253576,73289.20863030705,530683.7840950507,0,73416.29223216092,477848.11771887465,
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,453550.0338210062,227286.71166472542,226263.32215628077,0,227680.82717656807,203736.20947466686,
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,432836.9999224165,0,432836.9999224165,0,,389743.10482222325,
0xf93b6e547cb0dc2b7655c84e39f1d2317b71f245,349394.14999999997,349394.14999999997,0,0,350000,,
