Address,Average Total cStables in USD,Contract,Beneficiary,Average cUSD in USD,Average cEUR in USD,Average cREAL in USD,Average cUSD Balance,Average cEUR Balance,Average cREAL Balance
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,8320141.904062672,StableSwap/cUSD_USDCet,,8320141.904062672,0,0,8335374.180856193,0,0
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,4293430.550892835,,,1687165.695922087,2606264.8549707485,0,1698474.4831307023,2461237.915464679,0
0x655133d8e90f8190ed5c1f0f3710f602800c0150,1935477.2900662452,Gnosis Safe,,180492.01649070584,1754985.2735755397,0,181091.27138389356,1632251.256689707,0
0xde552b78ee3c2c84ac4c77ec9cb9aa9f237ada64,1579780.6945196716,,,0,1579780.6945196716,0,0,1484713.2014579,0
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,1381680.1852329231,Gnosis Safe,,1381680.1852329231,0,0,1384785.1423980235,0,0
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,1338282.5516260974,,,1083800.7941168025,254481.75750929472,0,1087589.6623980005,244200.09360625007,0
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,1298166.627096367,,,0,1298166.627096367,0,0,1222467.4828418805,0
0xfa3df877f98ac5ecd87456a7accaa948462412f0,1226821.3568847668,unverified,,1226821.3568847668,0,0,1244145.558720177,0,0
0xca31c88c2061243d70eb3a754e5d99817a311270,996327.4290688472,,,996327.4290688472,0,0,1000000.1797289471,0,0
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,736037.918624667,,,4228.4586754012325,731809.4599492657,0,4262.91926213246,696461.8548222235,0
0x2962518b087b3ae071ca4d737c7d874af04b2142,734592.2093514099,unverified,,34355.53604905068,533885.3910335692,166351.28226879006,34888.0061708204,517108.2608419714,842158.82212237
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,682750.2613477003,Pair,,342021.9642285022,340728.297119198,0,342910.67885353795,317233.8822379442,0
0x0708501b884f5637159e61566581cd5933e36e21,658667.8405238442,,,190154.9601220178,468512.8804018263,0,191390.61812019043,438892.98622002115,0
0x918146359264c492bd6934071c6bd31c854edbc3,595674.3382014406,ATokenV4,,595674.3382014406,0,0,597862.9503687856,0,0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,565403.5081977702,,,320255.16080811375,245148.3473896564,0,320969.8835042826,230106.34505287308,0
0xd533ca259b330c7a88f74e000a3faea2d63b7972,557016.904200596,Governance,,503.67935375658067,556513.2248468396,0,504.73858327381276,515517.245904891,0
0xba9c43e14aabe514015c541f088b27251253bf00,545829.7608676921,,,545829.7608676921,0,0,549418.8161875,0,0
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,506240.61323069205,,,0,506240.61323069205,0,0,468750.2495239187,0
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,473070.7237737172,StableSwap,,473070.7237737172,0,0,474369.311160913,0,0
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,445405.38381728396,Pair,,223020.12685720946,222385.25696007448,0,223889.60073367017,208195.3343365881,0
0x796dff6d74f3e27060b71255fe517bfb23c93eed,431699.9432082017,TokenBridge,,36099.57743904224,395600.36576915934,0,36371.918547126246,375548.2813995775,0
0xf89d7b9c864f589bbf53a82105107622b35eaa40,409142.82215248013,,,409142.82215248013,0,0,412631.7355114921,0,0
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,385734.20513109147,mCEUR,,0,385734.20513109147,0,0,362675.3844839374,0
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,367768.042563381,,,221697.3525401206,146070.69002326034,0,222794.9840218343,144151.74203331288,0
0xf93b6e547cb0dc2b7655c84e39f1d2317b71f245,361050.518191375,,,361050.518191375,0,0,362469.375,0,0
0xaf106f8d4756490e7069027315f4886cc94a8f73,317246.81517004175,unverified,,255967.9169500597,61278.8982199821,0,256872.02397051916,57267.7310122623,0
0x7b1eefdc75e5459901addb46a07152005b5fbbf9,316777.831856125,,,316777.831856125,0,0,318872.36875,0,0
0xa5c739df3d8e58ca79a77ec34cfd4d7bea0b8e25,266680.5153148341,,,172029.54774683813,94650.96756799595,0,173134.1583901205,90390.52796501748,0
0x4f369ee454c77ccf765792382b909ed888c57a47,237132.95929220767,,,89864.7673919482,147268.19190025944,0,90803.76617500003,137228.5432315522,0
0x1e32760a3285550278aeafa776e5641bc581c845,222652.52606572642,,,222112.6879395303,539.8381261960922,0,223303.49909837483,506.82843212321393,0
0x3dc674fab7eb6e6b3925d02a3d3f566cdae3354f,217983.36725457074,Gnosis Safe,,217983.36725457074,0,0,218786.9169036285,0,0
0xbbbd1bbb4f9b936c3604906d7592a644071de884,216866.4367220994,unverified,,207750.5164993215,9115.920222777933,0,208709.38545513927,8553.820619746126,0
0x3df608b001fd2a0b075f0af9c8e7fce8162511c8,206448.25339707203,,,169679.97662395265,36768.27677311938,0,170819.11044969043,34697.699375000004,0
0xf9979714c5beab995d50a062f4498a4290edef79,202605.13421593144,,,181436.6513376577,20375.052422211156,793.430456062544,182436.3732217788,19039.621087739815,3973.2195413588615
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,183515.96407721713,unverified,,181402.19924018468,2113.7648370324214,0,182055.9656744594,1976.3281779393733,0
0x573dee1fe5bbd090c61faa82873d5174f25c9686,169356.6131940786,Gnosis Safe,,169356.6131940786,0,0,169612.36452170459,0,0
0x1dc3d671890ddfb3ca622d979467109930440e36,164366.89194521264,,,0,164366.89194521264,0,0,155796.66921875,0
0x044ff4731885e0b9dc39d49962d47fa318ded59b,163647.129735147,,,643.0666995119825,163004.06303563502,0,645.2409560156302,151908.36714416882,0
0xbf120a30a122fe06a2935dbb5c53f127ac270d2e,156862.26380677626,,,156862.26380677626,0,0,157441.85374999995,0,0
0xa5f0b4269b3b11f137dabdf654f85d294dc0dce7,144467.909560535,,,144467.909560535,0,0,145000.46,0,0
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,142299.75980538508,,,142299.75980538508,0,0,142630.71863344425,0,0
0x424512429f16bd8c17ab3137341d2cb069bd18db,136861.96132725,,,136861.96132725,0,0,137526,0,0
0x49067d9b869ee1653cbdf8c01b6fc4f908b6beb8,131796.53516425,,,131796.53516425,0,0,131841.625,0,0
0x7da99753ff017f1b7afb2c8c0542718dc9f15f21,126955.02892403513,Pair,,126955.02892403513,0,0,127401.41560353605,0,0
0x2de97fafc45bc2ab0a08a1d78069674a18810dcf,125649.28696760151,Gnosis Safe,,125649.28696760151,0,0,126227.5063502268,0,0
0xb0394d0f593c719219fcfcda7ca2778eaccdbc93,119248.7779144375,Gnosis Safe,,119248.7779144375,0,0,119297.1375,0,0
0x14834ac9e4723ce9146dda7e31bd4c42c639c09f,119130.22005850254,unverified,,119130.22005850254,0,0,119569.23860297057,0,0
0xddccf2341e4503af58788e7f71f82f69a0c65402,118665.35291470749,,,118665.35291470749,0,0,119150.34374999996,0,0
0xa6314811afbce6d29d7eb4394d8fa583d0fd0363,111932.71875,,,111932.71875,0,0,112500,0,0
0xa228228fba1dbb76cbfced5abe2644d4ff00adc5,111325.16957515191,,,111325.16957515191,0,0,111796.43870972397,0,0
0x1d918355014cfff2da56392af32771618a291de8,106474.38828281745,Gnosis Safe,,0,0,106474.38828281745,0,0,548777.5
0xdc4690982cff5fa3a098cd336aead7767ab82452,94768.09651917142,,,94768.09651917142,0,0,94978.37566808441,0,0
0xac19b8ab514623144cbc92c9c4acb3583e594be3,91445.25749903718,,,91445.25749903718,0,0,91782.35112914676,0,0
0xff639206d4c7f3bfad4aaa75fefc8bd453fe2787,88493.38630960365,,,88493.38630960365,0,0,88685.46298257246,0,0
0xd04ce1a37798ff25104b1de4e065c586b08d48e8,84636.08483485245,,,30667.809957781632,53968.27487707081,0,31039.390873637632,52523.81147486338,0
0x470787a48c0325d7ccefd6207fa32128c6d4f1ef,83303.03220202232,Gnosis Safe,,33254.490491574536,4086.9425494340057,45961.59916101378,33341.23787227176,3787.3551356774747,227113.65893744383
0x9288bca9a883dbafd5625a1a11ccc9363a1aabe9,81179.615625,Gnosis Safe,,81179.615625,0,0,81250,0,0
0x74645efa0029302479c9fd0c497ee56e747d7299,81022.30423045569,,,43896.84798045571,37125.45624999999,0,43970.17824590308,34374.99999999999,0
0x612a7c4e40eacb63dadad4939dfedb9d3397e6fd,80660.54786418157,,,80660.54786418157,0,0,80918.67850589752,0,0
0xd108165e54ba435102f965f15ca5dd3101fcd1a9,77592.38956110583,,,77592.38956110583,0,0,77914.41007499999,0,0
0xfd5749e02238666fb9479b719f878a1172f2cdb6,75831.02693101625,,,75831.02693101625,0,0,75908.55125,0,0
0xcf5b7f0288fe863ce2941a0c24fcdc3d8a4443fc,72785.83177850315,,,72785.83177850315,0,0,73132.02837321091,0,0
0xdc553892cdeeed9f575aa0fba099e5847fd88d20,72318.99713750937,unverified,,72318.99713750937,0,0,72591.61562500002,0,0
0x1bc5b032f9a2377ea2e1dd308a43413663050c5d,70342.63383478577,,,70342.63383478577,0,0,70836.96717072774,0,0
0x924531e9baf2862f0deeda90dac18eb53cde859a,69742.9075,,,69742.9075,0,0,70000,0,0
0x4e31993d9f13f940828bf9ec2f643a7e55b21e8c,67394.89776635576,Gnosis Safe,,67394.89776635576,0,0,67394.2554343961,0,0
0xba6bfae542ce758f58183ecd7d019a346693cf89,67359.42619295421,,,28928.49794494451,38430.9282480097,0,29007.19491591,35960.8283026875,0
0x5776b4893faca32a9224f18950406c9599f3b013,64230.970397776575,,,63883.94503702657,347.02536075000006,0,64259.37411250213,312.475,0
0x1d658605710644b243ab3be33b83d00eafa2fd5e,62896.05408179694,,,62896.05408179694,0,0,63112.30086149056,0,0
0x9ef2923c36c8b24a1c86851ec686d6dcbaeb2467,61441.47003938738,,,61441.47003938738,0,0,61623.995737072255,0,0
0xaaa6d28f04c9efdb39f77497cefeaf0b36cd9217,60161.17820235675,,,60161.17820235675,0,0,60382.94968079691,0,0
0xc0ba93d4aaf90d39924402162ee4a213300d1d60,58775.08815043181,unverified,,58775.08815043181,0,0,59301.081441539674,0,0
0xda2069f47d252121c2288301d6ef50b87220a693,58556.075309924585,unverified,,58556.075309924585,0,0,58670.81810500464,0,0
0x079e7a44f42e9cd2442c3b9536244be634e8f888,57960.945968108004,Pair,,57960.945968108004,0,0,58128.86687228191,0,0
0xc2fd7bd1c2a86b57f8da0837d32aa9ca86cc1d6b,57761.16502522563,UniswapV2Pair,,28967.786541869802,28793.378483355802,0,29139.142185194494,27140.49115846333,0
0x9e240434e845d7bb2ce7218ed487687a6bc2e111,57758.54504725148,,,4865.860046082263,1482.5340694605563,51410.15093170868,4886.240844737081,1395.040594932861,262535.1643823416
0xea3fb6e3313a2a90757e4ca3d6749efd0107b0b6,57122.96622060507,Pair,,57122.96622060507,0,0,57395.16294244762,0,0
0xd1d8042ad72c1e22320708e1553f2dd09ca96fba,56974.81732711935,,,21125.0481837041,35849.769143415244,0,21242.215291766763,33813.62059676815,0
0x8c9c63f123523260061458638ab5983462f2d265,55790.09661020462,,,0,148.52118206206922,55641.57542814255,0,137.62081812413314,273956.29290069896
0xe971f568c6cfb436c88ea943e5dde716d89a3b21,55708.016770644404,,,3282.6044705944832,47009.602684934456,5415.809615115463,3290.9908762962064,43968.244983043885,26731.256661339707
0x69d174b5934ea2e20b0a31dd848c79ae5300a095,55377.76281800349,unverified,,55377.76281800349,0,0,55711.53249536195,0,0
0x1e593f1fe7b61c53874b54ec0c59fd0d5eb8621e,55017.7366924095,UniswapV2Pair,,55017.7366924095,0,0,55249.81307332473,0,0
