Address,Total Volume in USD,cUSD Volume in USD,cEUR Volume in USD,cREAL Volume in USD,Contract,cUSD Volume,cEUR Volume,cREAL Volume
0x67316300f17f063085ca8bca4bd3f7a5a3c66275,1.2137143497796333E8,1.2137143497796333E8,,,"Exchange, Exchange",1.2171465094491976E8,,
0x777a8255ca72412f0d706dc03c9d1987306b4cad,1.0372984949191503E8,8.221480351402687E7,1.90354235108266E7,2479622.4670615583,"Broker, Broker",8.244729177035607E7,1.7791679660544932E7,1.2356510056671899E7
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,6.623221746616427E7,6.623221746616427E7,,,"StableSwap, cUSD_USDCet",6.641950992559219E7,,
0x918146359264c492bd6934071c6bd31c854edbc3,6.306645655726181E7,6.306645655726181E7,,,ATokenV4,6.32447968304385E7,,
0x1e32760a3285550278aeafa776e5641bc581c845,5.891813641201182E7,4.4300615006176494E7,1.4617521405835323E7,,,4.442588895073248E7,1.3662436148891712E7,
0xb048b49011f971b7c9e6bae8c8d1cbc26d5d2941,5.690142639495326E7,5.690142639495326E7,,,,5.706233310323178E7,,
0x90d2986ab3e2b08afe7d7a5e0e0302b7b2464aec,5.680584489180613E7,3.624033443828948E7,1.7610684056381654E7,2954826.397134994,unverified,3.634281540038176E7,1.6460030382618085E7,1.4724556894011933E7
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,5.5960337364695296E7,2.840914747623015E7,2.7551189888465147E7,,Pair,2.848948329019851E7,2.5751039606952816E7,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,5.551626600601168E7,2.4205407761478033E7,3.1310858244533647E7,,,2.4273856177136455E7,2.92650573004921E7,
0xe383394b913d7302c49f794c7d3243c429d53d1d,5.351017198970414E7,,5.351017198970414E7,,"ExchangeEUR, ExchangeEUR",,5.0013903713778675E7,
0xa7cbd42ee1d9832ac6d15c04be4e88340dd3951f,4.41175776923415E7,3.259146872297793E7,1.0607895642758392E7,918213.3266051792,unverified,3.2683631367790677E7,9914792.861903189,4575661.156116386
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,4.158454955571477E7,1.567075717650585E7,2.591379237920892E7,,,1.5715071179040719E7,2.4220627008300003E7,
0x769e4e225da686986d8ddc8bcd4fa8d3bf046a60,4.00005554634742E7,1.8269874867570855E7,2.1730680595903344E7,,,1.832153869415398E7,2.0310832997649606E7,
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,3.69660976102026E7,3.69660976102026E7,,,Gnosis Safe,3.707063089629414E7,,
0x883feb1b9862e0c8559d26f53bf19264c5e0839f,3.447115731458537E7,3.430359060646215E7,167566.70812322333,,unverified,3.4400594815254875E7,156618.16985604653,
0x6914ba1c49d3c3f32a9e65a0661d7656cb292e9f,2.7339696406579226E7,1.534086965591411E7,1.193848435495053E7,60342.39571458975,unverified,1.5384250797562992E7,1.1158443055122953E7,300699.5739857897
0x1dc3d671890ddfb3ca622d979467109930440e36,2.5710842934755307E7,,2.5710842934755307E7,,,,2.4030937952999998E7,
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,2.495486177086193E7,1.4588555162871232E7,1.03663066079907E7,,,1.462980889829614E7,9688988.86475848,
0x2478709280e8539da2527534f74f46ce053ae093,2.4506834613670886E7,2.044120493192315E7,4065629.681747735,,,2.0499008878277898E7,3799988.0,
0xadd7c542667728e6b91dc091a6def2489f2de35c,2.4179046392596275E7,2.407317332489564E7,105873.06770063602,,,2.4141247806027994E7,98955.49232921196,
0xf9ce7198ebfe65ab83f4dcc87e9568d26fced832,2.363493911303638E7,9811756.68274413,1.3823182430292247E7,,,9839502.51567443,1.2919998E7,
0x079e7a44f42e9cd2442c3b9536244be634e8f888,2.321155345921742E7,2.321155345921742E7,,,Pair,2.327719143875118E7,,
0x5615cdab10dc425a742d643d949a7f474c01abc4,2.261503852376832E7,1.776010475247929E7,4854933.679610931,0.09167810151939577,SwapRouter,1.781032704347368E7,4537720.148527313,0.45685236299033666
0x17e9175797ecd03a7fbdcb1503fd777bf883db53,2.2261811408060595E7,1.3404564925751138E7,8838319.823503045,18926.658806411946,unverified,1.3442470555798747E7,8260838.270699542,94315.74886388583
0xfaf4c940351e5f68f582190d443a61374aab984e,2.168455829295475E7,2.168455829295475E7,,,,2.1745878212620288E7,,
0xd533ca259b330c7a88f74e000a3faea2d63b7972,2.0833261222054236E7,1.9870302424872357E7,962958.5402388623,0.25694301557392873,Governance,1.9926491964542113E7,900040.3833711096,1.2804041736616654
0x1774c494c62d52837c0d2cfd24c535e76a0fcbcc,2.038515086450299E7,1.838297993346698E7,1922564.3311745517,79606.59986145957,unverified,1.84349636002544E7,1796947.0806673998,396697.3863288362
0x3001a219e647409b94522c7ecc5795d97e467957,1.9578901503298264E7,1.9578901503298264E7,,,,1.9634267015064847E7,,
0x4fd39c9e151e50580779bd04b1f7ecc310079fd3,1.9304069858984653E7,1.4615201680781048E7,4688868.178203604,,unverified,1.4656530767629558E7,4382505.0989631945,
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,1.8856075579985686E7,1.8856075579985686E7,,,StableSwap,1.8909397073748723E7,,
0x655133d8e90f8190ed5c1f0f3710f602800c0150,1.78425380571462E7,1.0259504600099603E7,7583033.457046596,,Gnosis Safe,1.0288516581316242E7,7087570.289478107,
0x2d70cbabf4d8e61d5317b62cbe912935fd94e0fe,1.777265100365562E7,1.777265100365562E7,,,Pair,1.7822908773127545E7,,
0xe04f2d98e265daa98bd674e4d340e3d0348617a2,1.6768426344649168E7,1.6750045549376931E7,18380.795272236624,,unverified,1.6797411579784643E7,17179.823774537705,
0x7a383001df1826ee82be872fbc68a460387fd298,1.6546113046849288E7,9863852.211236313,6660862.408890092,21398.42672288374,unverified,9891745.360684613,6225652.409285012,106633.1179486387
0xd04ce1a37798ff25104b1de4e065c586b08d48e8,1.6255007628000684E7,7223135.160556974,9031872.46744371,,,7243560.850663033,8441744.497266302,
0x4c9c42dcc8062528d87266be769bc21d9a26bdcc,1.624858822165182E7,1.624858822165182E7,,,,1.6294536223495778E7,,
0x1e70df456c3f70557994d8e6c8dac771936e1ebc,1.5880461211107453E7,9941381.902613549,5939079.308493905,,,9969494.2916877,5551029.451758481,
0x1d658605710644b243ab3be33b83d00eafa2fd5e,1.5514159996375784E7,1.5514159996375784E7,,,,1.5558031171052428E7,,
0xea3fb6e3313a2a90757e4ca3d6749efd0107b0b6,1.5393966175655335E7,1.5393966175655335E7,,,Pair,1.5437497464440309E7,,
0x3df608b001fd2a0b075f0af9c8e7fce8162511c8,1.5236274748416927E7,1.2159288492508361E7,3076986.2559085665,,,1.2193672711152693E7,2875940.94,
0x4bf73414cbbd974a208782804ad21d61a98bc939,1.4100750847124312E7,1.410073266261685E7,18.184507461549565,,unverified,1.4140606926247936E7,16.996361092605383,
0xfa3df877f98ac5ecd87456a7accaa948462412f0,1.4035844572096491E7,1.4035844572096491E7,,,unverified,1.4075535344210515E7,,
0x1c8dafd358d308b880f71edb5170b010b106ca60,1.3634165031404868E7,6844340.393380293,6789824.638024575,,Pair,6863694.921953836,6346188.454504364,
0x1bc5b032f9a2377ea2e1dd308a43413663050c5d,1.3550100713175166E7,1.3550100713175166E7,,,,1.3588417891508553E7,,
0xca9c8d118c0b3b8b2a0470e8476a661d59b1dd19,1.3321295318883091E7,9748415.710016873,3572879.608866218,,,9775982.426393047,3339433.421614503,
0x4f369ee454c77ccf765792382b909ed888c57a47,1.3226768418873698E7,5241861.378854641,7984907.040019058,,,5256684.3932,7463186.101136557,
0x4b14ec915133df0c0302eaa0c93736abc5ad8619,1.1815319184129631E7,1.1815319184129631E7,,,,1.1848730721196951E7,,
0x12754986a16982a349e8d8cf7a4b8cf0ece66143,1.0872428289180212E7,1.0872428289180212E7,,,,1.0903173505211588E7,,
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,1.0520413821340505E7,1.0514165356229143E7,5260.168535755635,988.2965756063243,unverified,1.0543897470957236E7,4916.477613193803,4924.901567747723
0x2fc376998c1e647976825ea82b2741e948817a93,1.0367535459124176E7,1.0367535459124176E7,,,,1.0396852931626702E7,,
0x5ab1c68a53ab28b403d1e8bbfc060ea82b0224aa,1.0335158405301703E7,1.0334976000312325E7,182.40498937871888,,unverified,1.0364201400688145E7,170.48694176231348,
0xd334c118a49565538dc4b97ad637947507b1a45c,9954539.707588954,9954539.707588954,,,,9982689.30450166,,
0xa730b463395f5ca07ece5cefeccf7f45e1e2c9bf,9605244.909988731,9005167.657209132,587420.7104167755,12656.542362823651,unverified,9030632.605577214,549039.5892563551,63070.36456814047
0x49067d9b869ee1653cbdf8c01b6fc4f908b6beb8,9411270.667439496,9411270.667439496,,,,9437884.0,,
0xf89d7b9c864f589bbf53a82105107622b35eaa40,9171024.727656752,9171024.727656752,,,,9196958.689139992,,
0x0708501b884f5637159e61566581cd5933e36e21,9142826.592158353,843074.7730119538,8299751.819146398,,,845458.8325189409,7757459.430534387,
0xf35ed7156babf2541e032b3bb8625210316e2832,8803866.176663924,8502723.890316585,293083.2145125525,8059.071834785909,unverified,8526768.02065342,273933.6302932445,40160.146754913694
0x6dec25d7be9bf6c6fc302977629f2e801e98611c,8473873.436801234,6334061.583843944,2139811.852957291,,,6351973.13833496,2000000.0,
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,8369280.326233087,4159031.514094869,4210248.812138218,,Pair,4170792.485883425,3935157.94981649,
0x1e593f1fe7b61c53874b54ec0c59fd0d5eb8621e,8322272.401413784,8322272.401413784,,,UniswapV2Pair,8345806.248319728,,
0xf8b7efa4800003ad0c9949bcebd18b9391dd86ec,8038840.069864414,8038839.240439994,0.8294244195116461,,unverified,8061571.590795875,0.7752311665769624,
0x7d28570135a2b1930f331c507f65039d4937f66c,7890054.518392753,7405931.211239252,424340.84416727343,59782.46298622687,unverified,7426873.814763219,396615.0982674671,297909.30470851756
0xcb8efb0c065071e4110932858a84365a80c8fef0,7874524.737377654,,7874524.737377654,,,,7360016.0,
0x48f337122419201a93cd5d834029f2fdbbfd0ed7,7455471.812456689,7455471.812456689,,,,7476554.50763693,,
0xba9c43e14aabe514015c541f088b27251253bf00,7401869.940997029,7401869.940997029,,,,7422801.06,,
0x2962518b087b3ae071ca4d737c7d874af04b2142,7396710.790432474,3733486.8936925638,3340056.9327995814,323166.9639403278,unverified,3744044.5040114215,3121823.0034416458,1610412.8321779924
0xfe8ab454a86e947fa3807bfbfbea64f95dcef092,7394340.261821036,6840315.928710705,554024.3331103318,,unverified,6859659.076842604,517825.27734356816,
0x56ceb63fbcb6ba4dea75efc087c2135c903c00ea,7341080.859589933,5364282.644727784,1333004.6659281421,643793.5489340068,unverified,5379451.843767675,1245908.2924378472,3208166.391253325
0xbb98f2a83d78310342da3e63278ce7515d52619d,7255580.4483146425,6831329.684949032,424250.7633656101,,,6850647.42164584,396530.9032,
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,7204652.405909465,,7204652.405909465,,mCEUR,,6733912.045540262,
0x5472895f8de2424aae41cfeba18d39145fa8e685,7202553.595042111,6859313.2185926195,320971.88483683625,22268.491612656297,,6878710.087546206,300000.09990901063,110968.84473900449
0x69d174b5934ea2e20b0a31dd848c79ae5300a095,7187339.741622265,7187339.741622265,,,unverified,7207664.208904977,,
0xdb6f1920a889355780af7570773609bd8cb1f498,7135593.223276094,5895231.494172075,1211583.1560284565,28778.5730755629,unverified,5911902.118343831,1132420.2680287133,143410.02807829133
0xce10ec502aa66ddb187ad9190654a3b4fc29908c,6980693.269394177,6980693.269394177,,,,7000433.378678676,,
0x79ff100574a8240e8f8d74058c0b273b8f74ea6f,6968281.253625035,,6968281.253625035,,,,6512985.002858676,
0xb68b0cbf720d454f63c51154cfd567208ab41cb7,6918315.284119243,6918315.284119243,,,,6937878.999999999,,
0xb90c0a9008f1bafc12c751ae33e05eb7e0002132,6738512.961497382,4724377.139184905,1880584.9254955132,133550.89681696406,unverified,4737736.803824172,1757710.541603443,665513.8116859946
0x98db3a41bf8bf4ded2c92a84ec0705689ddeef8b,6704743.616498453,6187134.652068006,517337.7364861782,271.22794426900145,,6204630.72437435,483535.7237330939,1351.589149368342
0x1c4e483b6d83937c91e6574ae559363b21c0e4e7,6590782.440928116,6499626.455992136,91155.9849359806,,,6518006.197315571,85200.0,
0xc94b947a1b2958c68150bcaa630f011765ac18e9,6584572.840977302,5909907.027954055,674665.8130232464,,unverified,5926619.151820681,630584.2376663499,
0xaac69b9d58fc9819ef82f82def9f1fc24c7721c1,6524295.20003162,6524295.20003162,,,,6542744.7,,
0x0a96c96a4b791537a612312d8ff6073083d9e991,6428178.438997181,3733158.0842631697,2539180.0923062325,155840.2624277788,unverified,3743714.7647697837,2373274.163143831,776586.676198813
0xaf106f8d4756490e7069027315f4886cc94a8f73,6278876.110012909,5815792.1195631,463083.9904498099,,unverified,5832238.103878074,432826.8299007807,
0x03a9fa4c61f273be6566e8ac5626221739517b70,5998114.038910647,4598275.222559345,1003967.6635778308,395871.1527734715,unverified,4611278.294304596,938370.0367771252,1972713.9697150763
0xc7d252fdfaee7f3c06ce676dcf68d0aa368ddc49,5740154.426447647,4362731.976705671,1377422.4497419754,,,4375068.975722192,1287423.8899446528,
0xa5c739df3d8e58ca79a77ec34cfd4d7bea0b8e25,5534947.910096985,4806892.113558252,728055.7965387328,,,4820485.115281514,680485.80582684,
0x221281bf21c0b4d2b6faa13fddc1bd2eeec27228,5226896.767843265,4914217.817209171,93008.9748896369,219669.97574445698,,4928114.316169361,86931.91858068775,1094664.3291435658
0x843809614e958ac8a4bc18b3d9d9a46468b51eef,5220660.459851415,2560193.8026963645,2660466.6571550504,,unverified,2567433.557188415,2486636.0595939285,
0xf3fec4675ed82dd9baf648ef56309ef23f45c09a,5160672.345076351,3527484.6992615405,1633187.645814811,,unverified,3537459.773480618,1526477.8008942157,
0x9be5da31c7a42d7e045189ac1822d1fa5838e635,5030733.75017026,5030733.75017026,,,StableSwap,5044959.734635868,,
0xba17f0d13d28f324a5a943c04067552db860c0c3,4753968.177784357,3250717.3555093347,1503250.8222750223,,,3259909.7828764147,1405030.8396950692,
0x470787a48c0325d7ccefd6207fa32128c6d4f1ef,4744860.443763219,3907991.1140019055,393743.8316735809,443125.49808773235,Gnosis Safe,3919042.1899761898,368017.2451885561,2208192.8786431164
0x1cd7daa66a24d672d2241ca897730bee4a55ba42,4514301.773793113,4475501.956341144,38799.81745197014,,,4488157.848,36264.700000000004,
0x7e8100f5eceee4b18e1810af79c7802ad0a7194d,4413052.957338429,3148379.3952364805,1264673.5621019483,,unverified,3157282.429782278,1182041.8326537705,
0x612a7c4e40eacb63dadad4939dfedb9d3397e6fd,4329843.192428862,4329843.192428862,,,,4342087.188047181,,
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,4251439.652851414,691848.7768435858,3559590.876007828,,,693805.1972070355,3327012.9531139433,
0xecd81a84e3b1aa4ca8487fabc02d35d5a2b97d8e,4214053.5365803605,3920836.1172357514,254355.75255931015,38861.666785298854,unverified,3931923.5165031254,237736.5582004624,193656.32584408118
0xb6d4ab615915f2570f879f7aeb986e204e1e694a,4181064.861680031,2169375.6193829514,1932700.6481432815,78988.59415379798,unverified,2175510.212345731,1806421.1070447387,393617.726484146
0xba6bfae542ce758f58183ecd7d019a346693cf89,4108103.7995597497,2858799.3395388313,1249304.4600209186,,,2866883.495253332,1167676.922898,
0x81680b9a795e487c770cbcf650a09aa7c86040f9,4070127.6571830255,3557439.1000945293,498364.29101298336,14324.26607551284,unverified,3567498.8798182285,465801.97256523033,71381.00261942997
