Address,Total Volume in USD,cUSD Volume in USD,cEUR Volume in USD,cREAL Volume in USD,Contract,cUSD Volume,cEUR Volume,cREAL Volume
0x67316300f17f063085ca8bca4bd3f7a5a3c66275,9.626468530735223e+07,9.626468530735223e+07,,,"Exchange, Exchange",9.658799434373492e+07,,
0xf4cab10dc19695aace14b7a16d7705b600ad5f73,5.6070381455598235e+07,5.6070381455598235e+07,,,"StableSwap, cUSD_USDCet",5.625869621443363e+07,,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,4.798465919474289e+07,1.9870839412645336e+07,2.8113819782097556e+07,,,1.9937576471226122e+07,2.629351916642102e+07,
0xe383394b913d7302c49f794c7d3243c429d53d1d,4.236359491137675e+07,,4.236359491137675e+07,,"ExchangeEUR, ExchangeEUR",,3.9620656438513815e+07,
0xa7cbd42ee1d9832ac6d15c04be4e88340dd3951f,3.696980235365859e+07,2.6958219117528934e+07,9.215298510251299e+06,796284.7258783604,unverified,2.704875944202752e+07,8.618630619446388e+06,3.973683952614962e+06
0x769e4e225da686986d8ddc8bcd4fa8d3bf046a60,3.6935897278417625e+07,1.6354667241100693e+07,2.058123003731693e+07,,,1.640959508602324e+07,1.9248646062649604e+07,
0x1f18cd7d1c7ba0dbe3d9abe0d3ec84ce1ad10066,3.502444982316467e+07,1.7977586283641472e+07,1.7046863539523195e+07,,Pair,1.8037964771134507e+07,1.5943121094104672e+07,
0x883feb1b9862e0c8559d26f53bf19264c5e0839f,3.4452906536390476e+07,3.428544568894492e+07,167460.8474455561,,unverified,3.4400594815254875e+07,156618.16985604653,
0x918146359264c492bd6934071c6bd31c854edbc3,3.365598864834561e+07,3.365598864834561e+07,,,ATokenV4,3.3769023716435865e+07,,
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,2.9317388275655318e+07,2.9317388275655318e+07,,,Gnosis Safe,2.941585197002461e+07,,
0x1e32760a3285550278aeafa776e5641bc581c845,2.607662364183958e+07,2.606450441577025e+07,12119.226069327487,,,2.615204316146448e+07,11334.536018437717,
0x246f4599efd3fa67ac44335ed5e749e518ffd8bb,2.3271233252541516e+07,8.835778759379635e+06,1.4435454493161881e+07,,,8.86545409782036e+06,1.35007943543e+07,
0x6914ba1c49d3c3f32a9e65a0661d7656cb292e9f,2.1977362785614885e+07,1.2364425126904719e+07,9.568377688266696e+06,44559.970443473125,unverified,1.2405951574120978e+07,8.948848789953541e+06,222366.74109867928
0xb048b49011f971b7c9e6bae8c8d1cbc26d5d2941,2.1340849877271194e+07,2.1340849877271194e+07,,,,2.1412524028465673e+07,,
0xd533ca259b330c7a88f74e000a3faea2d63b7972,1.9859456349358782e+07,1.985941228794176e+07,44.061417019142716,,unverified,1.9926110968038633e+07,41.208548744778966,
0x2478709280e8539da2527534f74f46ce053ae093,1.985644783672718e+07,1.5793397318774125e+07,4.0630505179530554e+06,,,1.5846440114811312e+07,3.799978e+06,
0x1774c494c62d52837c0d2cfd24c535e76a0fcbcc,1.9656913503478e+07,1.7675454210058507e+07,1.9036841609512814e+06,77775.13246821256,unverified,1.7734817974143278e+07,1.780425298331698e+06,388119.708638804
0x1dc3d671890ddfb3ca622d979467109930440e36,1.719405823880923e+07,,1.719405823880923e+07,,,,1.6080785299e+07,
0xadd7c542667728e6b91dc091a6def2489f2de35c,1.68949918700146e+07,1.68949918700146e+07,,,,1.6951734418164507e+07,,
0x7a383001df1826ee82be872fbc68a460387fd298,1.6536657271982647e+07,9.8586347170437e+06,6.656654392773104e+06,21368.16216584354,unverified,9.891745360684613e+06,6.225652409285012e+06,106633.1179486387
0x32fd7e563c6521ab4d59ce3277bcfbe3317cfd63,1.6155412617737005e+07,1.6155412617737005e+07,,,StableSwap,1.6209671257539637e+07,,
0x777a8255ca72412f0d706dc03c9d1987306b4cad,1.6022153101797849e+07,1.3352775138593676e+07,2.193775459254279e+06,475602.50394989504,"Broker, Broker",1.3397621001324229e+07,2.0517338992639307e+06,2.373389789292392e+06
0x655133d8e90f8190ed5c1f0f3710f602800c0150,1.4896169839226665e+07,9.44046616883728e+06,5.455703670389386e+06,,Gnosis Safe,9.472172375638925e+06,5.102460289478106e+06,
0xd04ce1a37798ff25104b1de4e065c586b08d48e8,1.4625920399354734e+07,5.599753839431175e+06,9.026166559923558e+06,,,5.618560850663034e+06,8.441744497266302e+06,
0x4bf73414cbbd974a208782804ad21d61a98bc939,1.4093292239420116e+07,1.409327406640076e+07,18.1730193544877,,unverified,1.4140606926247936e+07,16.996361092605383,
0x1e0f3bfc926c4c4b98d428de9bbf0e5fa5909063,1.3874711376361996e+07,8.489390080951737e+06,5.38532129541026e+06,,,8.51790205829614e+06,5.036635e+06,
0x3df608b001fd2a0b075f0af9c8e7fce8162511c8,1.2926369054509412e+07,9.878057442463087e+06,3.048311612046325e+06,,,9.911233318152692e+06,2.85094094e+06,
0x079e7a44f42e9cd2442c3b9536244be634e8f888,1.2474134657938663e+07,1.2474134657938663e+07,,,Pair,1.2516029569277018e+07,,
0x4c9c42dcc8062528d87266be769bc21d9a26bdcc,1.1984367030630874e+07,1.1984367030630874e+07,,,,1.2024617036580188e+07,,
0x90d2986ab3e2b08afe7d7a5e0e0302b7b2464aec,1.1887270641520513e+07,7.335254984921279e+06,4.079500111795437e+06,472515.54480379703,unverified,7.359890750500571e+06,3.8153625231393967e+06,2.3579849979877532e+06
0x1d658605710644b243ab3be33b83d00eafa2fd5e,1.1778935345424606e+07,1.1778935345424606e+07,,,,1.1818495400329314e+07,,
0x4f369ee454c77ccf765792382b909ed888c57a47,1.161807665201864e+07,3.6382140965504437e+06,7.979862555468197e+06,,,3.6504331932e+06,7.463186101136557e+06,
0xfa3df877f98ac5ecd87456a7accaa948462412f0,1.1608897966649214e+07,1.1608897966649214e+07,,,unverified,1.1647886943791548e+07,,
