Address,Locked Celo Balance,Snapshot Date
0xc97e88e4803775e87701eedf5bdef8f4a9c89876,18261105133170814584594665,2023-02-15 12-00
0xb7eb6bbdfa555a1065374b4a1aa2bc446a05f442,16981614334000792918174379,2023-02-15 12-00
0x1ee3434e360baaa9f0f693e15aafb2985513177a,16643733149233538207989611,2023-02-15 12-00
0x3fa7c646599f3174380bd9a7b6efcde90b5d129d,15403165708139447088837332,2023-02-15 12-00
0x7034589832c20dad66533f53319009bbcf34e45f,15122587389453176464225142,2023-02-15 12-00
0xef283eca68de87e051d427b4be152a7403110647,12253856763186405830874350,2023-02-15 12-00
0xfc89c17525f08f2bc9ba8cb77bcf05055b1f7059,12061697309857631225833237,2023-02-15 12-00
0x7cf091c954ed7e9304452d31fd59999505ddcb7a,10739302759430898866791323,2023-02-15 12-00
0x282f95ada81610be70d7e1e8557f96866404a632,10635448965999374453992887,2023-02-15 12-00
0xd136f21f87c7d36cc0b488fb9b21d14fa86d27dc,9378824138284873524901146,2023-02-15 12-00
0xa5d2944c32a8d7b284ff0b84c20fdcc46937cf64,9262935545390551901063277,2023-02-15 12-00
0xb234e017ad9e29687474196a93d5c7df24415902,9055312862401750963724584,2023-02-15 12-00
0x7ae2f01ab6b6681148b50248d0b99a6abc5a09d5,8600923023123306115347280,2023-02-15 12-00
0xbdaccf951c8a219fc69ce8f171a61a3ddaefeb39,8548512140759669963221837,2023-02-15 12-00
0xef268b5c05452d63a17da12f562368e88a036ef1,8010048883780259132271626,2023-02-15 12-00
0x989e1a3b344a43911e02ccc609d469fbc15ab1f1,7452172767546613424595025,2023-02-15 12-00
0xf8ed78a113cd2a34df451ba3d540ffae66829aa0,7048677512459386683170872,2023-02-15 12-00
0x489dca840aa686cf055c342c165e9358889840de,6687879960599837182278831,2023-02-15 12-00
0x5c80858a7a1a730ef6e5d1408f4aed1d5512b080,6271406571348021097868649,2023-02-15 12-00
0x1dec9eae55fe9348bc195a57df03f1cd51fe13d1,5233216030533527063323463,2023-02-15 12-00
0x62af3bbfbc1c0e4bcb846962ae41c5e959383b67,4766782046568866986323509,2023-02-15 12-00
0xd22eb6784c69d69275e081283f49c9f46c4b86ea,3926007863430609809081821,2023-02-15 12-00
