Address,Locked Celo Balance,Locked Celo in USD,Snapshot Date
0xc97e88e4803775e87701eedf5bdef8f4a9c89876,0.000821298546443434,0.00032250340672467545,2023-06-15 12-00
0x7034589832c20dad66533f53319009bbcf34e45f,15285275.202602107,6002145.4401817825,2023-06-15 12-00
0xb7eb6bbdfa555a1065374b4a1aa2bc446a05f442,17011915.28133603,6680153.833098627,2023-06-15 12-00
0x1ee3434e360baaa9f0f693e15aafb2985513177a,16830141.05374107,6608775.638277775,2023-06-15 12-00
0xef283eca68de87e051d427b4be152a7403110647,12396345.29191083,4867734.887501085,2023-06-15 12-00
0x3fa7c646599f3174380bd9a7b6efcde90b5d129d,15609450.329778302,6129440.908245695,2023-06-15 12-00
0x7cf091c954ed7e9304452d31fd59999505ddcb7a,10868962.821470514,4267969.975920934,2023-06-15 12-00
0xfc89c17525f08f2bc9ba8cb77bcf05055b1f7059,12220093.443063056,4798525.1927547855,2023-06-15 12-00
0xa5d2944c32a8d7b284ff0b84c20fdcc46937cf64,9372645.954236973,3680403.7500800034,2023-06-15 12-00
0x282f95ada81610be70d7e1e8557f96866404a632,10711805.173221868,4206258.0963948965,2023-06-15 12-00
0xb234e017ad9e29687474196a93d5c7df24415902,9171848.694313752,3601555.686039652,2023-06-15 12-00
0xd136f21f87c7d36cc0b488fb9b21d14fa86d27dc,9505791.658929156,3732686.7396700066,2023-06-15 12-00
0x7ae2f01ab6b6681148b50248d0b99a6abc5a09d5,8716884.333157001,3422902.5555224256,2023-06-15 12-00
0xbdaccf951c8a219fc69ce8f171a61a3ddaefeb39,8662810.718094312,3401669.1987276836,2023-06-15 12-00
0xef268b5c05452d63a17da12f562368e88a036ef1,8044478.440376986,3158865.571575033,2023-06-15 12-00
0x989e1a3b344a43911e02ccc609d469fbc15ab1f1,7523025.084650362,2954103.8751150807,2023-06-15 12-00
0xf8ed78a113cd2a34df451ba3d540ffae66829aa0,7129043.805945221,2799397.2764995396,2023-06-15 12-00
0x489dca840aa686cf055c342c165e9358889840de,6769841.313103774,2658347.4376230245,2023-06-15 12-00
0x5c80858a7a1a730ef6e5d1408f4aed1d5512b080,6355958.254702186,2495825.907665181,2023-06-15 12-00
0x1dec9eae55fe9348bc195a57df03f1cd51fe13d1,5283190.902409475,2074576.9876036406,2023-06-15 12-00
0x62af3bbfbc1c0e4bcb846962ae41c5e959383b67,4831215.749215968,1897097.6443233802,2023-06-15 12-00
0xd22eb6784c69d69275e081283f49c9f46c4b86ea,3974087.6858680584,1560524.8820482397,2023-06-15 12-00
0x244d46d45050e451d0e759b1cfd0b2c08818ca38,3427271.689198735,1345803.9105561133,2023-06-15 12-00
0x0574619967528f41900698e93c21d90fd564e8aa,0,0,2023-06-15 12-00
0x1901e33fc0c9da7515d98d0cc152b6f40565189f,1910384.4185170438,750160.2015411801,2023-06-15 12-00
0x70c657b8fe399e20899789321e3be8413cd71987,2310316.1052735327,907203.3766382844,2023-06-15 12-00
0x9033ff75af27222c8f36a148800c7331581933f3,1281350.1281098754,503154.1615555453,2023-06-15 12-00
0x1c810f2aa829c874974ec449a965c6e5dbb301b8,1651352.507872146,648444.846028695,2023-06-15 12-00
0x7dc2f3edebfb21e7a784ef8954b66fbcd9dee407,1599998.3727697367,628279.3610273564,2023-06-15 12-00
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,1156856.3982825617,454268.58619560493,2023-06-15 12-00
0x41692e7f519764558325185db73f44d4e37a606d,1506580.129343159,591596.352289825,2023-06-15 12-00
0x6d43609bf7c7b1b0e1f29d6b1922e23d3a37ec39,1200241.1962153604,471304.71172386664,2023-06-15 12-00
0xaae9f9850a2f742fada295cb5816463fa59e8f5a,1174739.9795992905,461291.0214891514,2023-06-15 12-00
0xebeb1aba448d3b4d1a7159970418f4e541e32c29,0,0,2023-06-15 12-00
0x2d0078cbf9026856ea5a0fc54dd78e10da83c633,1104494.4937844877,433707.3753468237,2023-06-15 12-00
0xa21112df21627887d6c19fe604c6b1ca1617ed5b,1102387.6078039745,432880.0538944257,2023-06-15 12-00
0x28a62d2f5f319eae85421d2c783620f00eaa792e,1099971.5600538142,431931.3323441315,2023-06-15 12-00
0x3c9e737a5c8196a9a2195497f47c460896d8d969,1101769.911241406,432637.4998967191,2023-06-15 12-00
0xd7aec34bef3596da90cf400b9fbb3521b23c6e16,1102019.6082790091,432735.5496809599,2023-06-15 12-00
0xe570bee58d7a53a30f21a747d6e7ce0f85b38ac8,1101658.2646091466,432593.6590553966,2023-06-15 12-00
0x2268c440b7557a7d199976835daee17b4a59a597,1101861.6581558757,432673.5266163585,2023-06-15 12-00
0x0f4c32ebfd5ab18c28f17a2242d80f50e5f33b0d,1101564.2301916264,432556.7340904969,2023-06-15 12-00
0x151d81ae1709e52a0356138e221a0bc60b283114,1100858.9178222504,432279.77555585216,2023-06-15 12-00
0xebe9c48d7fe2238c8dcb44472accbe63380a9ae4,1096897.1562932103,430724.09084743634,2023-06-15 12-00
0xf00eb5e591dd4f23df2ce92ab3ef0948281bb67d,1064450.6818418636,417983.1714922538,2023-06-15 12-00
0xdcce2b585f3d15bc31925566121108dcfe819e48,1026982.7202194995,403270.43966219196,2023-06-15 12-00
0x70a9f34b9c6e94cbb3eacdf262cee0831f10a78b,968672.3980738473,380373.43391364795,2023-06-15 12-00
0x99fd11191c8de6e6f90935a848d6003007dbaf7a,939791.5200164424,369032.63512245653,2023-06-15 12-00
0xdae1391ba9a9b67e6fe2c25f358c4ca3b3ffed93,940325.0871403032,369242.1535928186,2023-06-15 12-00
0x0a4dfffc51a8f8588e59c51fee29df42d2364bda,620666.1184809777,243720.0680745179,2023-06-15 12-00
0x893745c8970007f87f27b2a874c6e984437a83de,827302.8546473092,324861.1484486321,2023-06-15 12-00
0x0ed27270c4914877bf2a6cb3abf4ca493117acb8,813737.5367218121,319534.38723223755,2023-06-15 12-00
0xe3ebdd53c52d0619db96554bc51110d828228b4d,801344.5831614647,314667.9841929281,2023-06-15 12-00
0x4aad04d41fd7fd495503731c5a2579e19054c432,5846366.194383775,2295721.8453796487,2023-06-15 12-00
0x613629cdf3cef733016c7801eae9ccb5da652645,738461.2845534463,289975.28491202457,2023-06-15 12-00
0x119f742071d279a0daad1c496db1b502bb0436c7,0,0,2023-06-15 12-00
0x4385bf4e4ae27700c4a055836e1f16e9a2a81176,693748.3532295427,272417.6346044107,2023-06-15 12-00
0x3dbd15c29bcde617df3c4611b8c127108e5a667a,690491.1838719795,271138.6256269295,2023-06-15 12-00
0x19049ceb58d5d0ca360fb5f6c46e9ee43b6accd3,653612.6980513865,256657.3662073282,2023-06-15 12-00
0xa22089ea702269b5bc4b49ab404df9532741a922,619135.967473189,243119.21602753448,2023-06-15 12-00
0x295b0561dd8dc696eaeeb1b5d16ae29c0184b490,300066.5799065128,117828.64426478991,2023-06-15 12-00
0xf62c998253dd5d75bd7fc4311d8df21ab15c70d5,599282.1218517334,235323.1071981294,2023-06-15 12-00
0xc7d1900659b35e4c5583f25ef016d9caa568fd05,0,0,2023-06-15 12-00
0x43720c8db4c2e4ca7fa4f5709af36988bc1482ec,486491.6734164537,191033.11785880596,2023-06-15 12-00
0xcb063993fcb57986763166c56b9501e21327f6ce,576128.3642696339,226231.20543957848,2023-06-15 12-00
0xa94d1fca8c5583396601dbb02d12615e6f4859bd,574635.3577315584,225644.9390972397,2023-06-15 12-00
0xc47d659610c84d20786de89236fff261d6d69e85,312457.2228319852,122694.1399755498,2023-06-15 12-00
0x4f49794a4fd42bab26a1740ca9c48022dd5ee21f,1141018.6236821148,448049.4880543744,2023-06-15 12-00
0x3f85428dccc693155e3fafacff3e66a59f6f9a5a,522529.87306894816,205184.4179073492,2023-06-15 12-00
0xb411767ba120e06c2b6c3441e1fbbba82ef3cad4,0,0,2023-06-15 12-00
0xc4d0e41a6852cf3dfcc1fa6cc52877efbb2398f5,0,0,2023-06-15 12-00
0x72e332dac7abea59bf1f9e5fda58151a506cb978,461856.8158652177,181359.62516987437,2023-06-15 12-00
0x5dfe79c1aa3046d92f1d208677d9a862903e7c65,423477.5089767165,166289.03083743213,2023-06-15 12-00
0xc86b2257a32dd69c1d45f273c6424ce3015601b1,422306.87929776,165829.35382824793,2023-06-15 12-00
0xe6bf4e939d0b9db76da62195c1ffe7bf869ace96,32.60335635922611,12.802522958359113,2023-06-15 12-00
0xeecd433a5c357fb25a81b688d5fcec1bec09fa7c,407865.8616211403,160158.72721208128,2023-06-15 12-00
0x9ad2afcf9f7d4625880a415cafb179b05e940579,400374.59942770185,157217.09583027282,2023-06-15 12-00
0xae89e059f87bd83d60e761c71ed481dd23c212de,96134.96638454628,37749.79792505171,2023-06-15 12-00
0x65da263720ec6819ea84302161b571a7281710e5,353581.4623757531,138842.60073839885,2023-06-15 12-00
0x52f04f639b23792fbcb96a695acacff0173f260b,122567.58795744555,48129.22760118993,2023-06-15 12-00
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,409752.0388194034,160899.3818434092,2023-06-15 12-00
0xff823e033adb6dd120333ced6c0e846d700e548a,370227.25416120025,145378.9870277493,2023-06-15 12-00
0x9605fbd9c8fbf7344485d38320a05cc392d5761e,340734.58823570044,133797.95443545366,2023-06-15 12-00
0xb86f6b74ddc3841af575325de8a2b3b28ac0f752,157308.28127753967,61771.02935065789,2023-06-15 12-00
0xc4e6c30e31fbe825bed5d0f03a4612badd743fb8,318237.30516138347,124963.83380424626,2023-06-15 12-00
0x402be96c77f4605955a35e6b9f366561f71db33e,317677.445870404,124743.99105716089,2023-06-15 12-00
0x893c0ff5597c1ceb04e4fa957fba1309cbb3ba25,310253.6031466278,121828.83361560207,2023-06-15 12-00
0x89754202d38684811826124e558c70b674ef3014,158173.3657398627,62110.726391900585,2023-06-15 12-00
0xd09e6f00039bd88f5794b9dfab61f4cc205f627d,162767.05087422402,63914.55170203592,2023-06-15 12-00
0xb79b6d58efe477e56811da37141ba3186ac64dfa,308269.9875024786,121049.91734253577,2023-06-15 12-00
0x52e6bd876ae54313f81f1a21ec53dc2a18e6fbf9,307675.0857823613,120816.3143095887,2023-06-15 12-00
0x197203da685e65201c0b590c34d0b92946863fbf,294357.154416445,115586.69561047755,2023-06-15 12-00
0xad60ae22da620346668b5a3e4acaf9041da2da1b,289027.193371215,113493.75315704185,2023-06-15 12-00
0x404ffc1183e4bd64593213d29d201e2a9fa12f2c,286899.6240482136,112658.30987313227,2023-06-15 12-00
0x7e400c912c9f19ddbb81903881ec8c17734dff42,269928.4403690495,105994.1503219165,2023-06-15 12-00
0xe153789c1d8341f17b4abf5039253683ba64d7df,0,0,2023-06-15 12-00
0xddccf2341e4503af58788e7f71f82f69a0c65402,525424.6505484644,206321.12465411826,2023-06-15 12-00
0x6a1c5504aa57de395bbaaeac0aba67300d69eadc,0,0,2023-06-15 12-00
0x0c8615aba223094d2de13204a2784d6bc277def6,256134.1971356246,100577.49586023139,2023-06-15 12-00
0x70f926b869cc07f4b06951062de3bf1766aab3cb,238925.34160736637,93820.00851567258,2023-06-15 12-00
0x67f09c27016f87ce5737782a684da673b526d12e,415242.3409514234,163055.28623310017,2023-06-15 12-00
0xe2b40fa787ba180a1b79d6c1343cc9403b7adbb7,415730.64955360926,163247.0328134635,2023-06-15 12-00
0x0d630ca9f913bf2aca031fda3376f670d73cf283,239920.54321208553,94210.79930580569,2023-06-15 12-00
0x9e6db6895535f70f6966e8bce37a0a3e20df0294,227609,89376.364075,2023-06-15 12-00
0xa649f5cfa38432d70f47484bf80d808eb257a154,0,0,2023-06-15 12-00
0xc06e78dcc04190e78cc4898234a7c84880ca0da8,229186.70957245817,89995.89118136502,2023-06-15 12-00
0x8223a32ed93cf9c89ccdb159c13c8fb485a61665,0,0,2023-06-15 12-00
