Address,Locked Celo Balance,Locked Celo in USD,Snapshot Date
0xc97e88e4803775e87701eedf5bdef8f4a9c89876,0.000826723516042629,0.0004021737086787096,2023-08-15 12-00
0x7034589832c20dad66533f53319009bbcf34e45f,14370024.904630955,6990542.905281107,2023-08-15 12-00
0xb7eb6bbdfa555a1065374b4a1aa2bc446a05f442,17124192.87084111,8330354.733299461,2023-08-15 12-00
0x1ee3434e360baaa9f0f693e15aafb2985513177a,16637506.583679525,8093597.9152428275,2023-08-15 12-00
0xef283eca68de87e051d427b4be152a7403110647,12466775.998257507,6064675.119544335,2023-08-15 12-00
0x3fa7c646599f3174380bd9a7b6efcde90b5d129d,9938952.705641594,4834972.505855349,2023-08-15 12-00
0x7cf091c954ed7e9304452d31fd59999505ddcb7a,10283040.811878242,5002360.014631973,2023-08-15 12-00
0xfc89c17525f08f2bc9ba8cb77bcf05055b1f7059,7728352.7918320745,3759588.5975841735,2023-08-15 12-00
0xa5d2944c32a8d7b284ff0b84c20fdcc46937cf64,8875362.495825812,4317570.967256895,2023-08-15 12-00
0x282f95ada81610be70d7e1e8557f96866404a632,4968921.275106613,2417216.2259372883,2023-08-15 12-00
0xb234e017ad9e29687474196a93d5c7df24415902,9227998.735584343,4489116.860903508,2023-08-15 12-00
0xd136f21f87c7d36cc0b488fb9b21d14fa86d27dc,4668554.346429758,2271097.627244645,2023-08-15 12-00
0x7ae2f01ab6b6681148b50248d0b99a6abc5a09d5,8774077.264533773,4268299.044645951,2023-08-15 12-00
0xbdaccf951c8a219fc69ce8f171a61a3ddaefeb39,8719405.047189083,4241702.815090931,2023-08-15 12-00
0xef268b5c05452d63a17da12f562368e88a036ef1,8093637.676203044,3937287.6394294663,2023-08-15 12-00
0x989e1a3b344a43911e02ccc609d469fbc15ab1f1,6617025.451624897,3218964.520375609,2023-08-15 12-00
0xf8ed78a113cd2a34df451ba3d540ffae66829aa0,7168801.229848818,3487385.227880865,2023-08-15 12-00
0x489dca840aa686cf055c342c165e9358889840de,6811255.81459622,3313451.182359179,2023-08-15 12-00
0x5c80858a7a1a730ef6e5d1408f4aed1d5512b080,6397919.072686464,3112376.4975325656,2023-08-15 12-00
0x1dec9eae55fe9348bc195a57df03f1cd51fe13d1,5305766.073956506,2581080.1046994,2023-08-15 12-00
0x62af3bbfbc1c0e4bcb846962ae41c5e959383b67,4863027.678461154,2365702.485657962,2023-08-15 12-00
0xd22eb6784c69d69275e081283f49c9f46c4b86ea,4000336.143154665,1946031.5225520204,2023-08-15 12-00
0x244d46d45050e451d0e759b1cfd0b2c08818ca38,3449562.7626176937,1678098.4484423415,2023-08-15 12-00
0x0574619967528f41900698e93c21d90fd564e8aa,0,0,2023-08-15 12-00
0x1901e33fc0c9da7515d98d0cc152b6f40565189f,1922984.5823810843,935468.5408371789,2023-08-15 12-00
0x70c657b8fe399e20899789321e3be8413cd71987,0,0,2023-08-15 12-00
0x9033ff75af27222c8f36a148800c7331581933f3,1289813.902362274,627451.8996404683,2023-08-15 12-00
0x1c810f2aa829c874974ec449a965c6e5dbb301b8,1662244.1964740849,808626.9475261586,2023-08-15 12-00
0x7dc2f3edebfb21e7a784ef8954b66fbcd9dee407,1599998.3727697367,778346.4084061754,2023-08-15 12-00
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,1164491.241725146,566486.5608883066,2023-08-15 12-00
0x41692e7f519764558325185db73f44d4e37a606d,1516500.4522938873,737727.4255260504,2023-08-15 12-00
0x6d43609bf7c7b1b0e1f29d6b1922e23d3a37ec39,4.5973992163503805,2.2364830045803203,2023-08-15 12-00
0xaae9f9850a2f742fada295cb5816463fa59e8f5a,0,0,2023-08-15 12-00
0xebeb1aba448d3b4d1a7159970418f4e541e32c29,0,0,2023-08-15 12-00
0x2d0078cbf9026856ea5a0fc54dd78e10da83c633,1111769.3147005448,540839.0832144299,2023-08-15 12-00
0xa21112df21627887d6c19fe604c6b1ca1617ed5b,1109669.2708298783,539817.4811727984,2023-08-15 12-00
0x28a62d2f5f319eae85421d2c783620f00eaa792e,1105585.9251265882,537831.0682385559,2023-08-15 12-00
0x3c9e737a5c8196a9a2195497f47c460896d8d969,1109047.4941613753,539515.0073422018,2023-08-15 12-00
0xd7aec34bef3596da90cf400b9fbb3521b23c6e16,1109293.7392812988,539634.7974669556,2023-08-15 12-00
0xe570bee58d7a53a30f21a747d6e7ce0f85b38ac8,1108884.7692967162,539435.8470654656,2023-08-15 12-00
0x2268c440b7557a7d199976835daee17b4a59a597,1109129.2396524316,539554.7738259995,2023-08-15 12-00
0x0f4c32ebfd5ab18c28f17a2242d80f50e5f33b0d,1108834.758653712,539411.5185379953,2023-08-15 12-00
0x151d81ae1709e52a0356138e221a0bc60b283114,1108090.5957195624,539049.5078279084,2023-08-15 12-00
0xebe9c48d7fe2238c8dcb44472accbe63380a9ae4,1104142.5529301614,537128.9152962768,2023-08-15 12-00
0xf00eb5e591dd4f23df2ce92ab3ef0948281bb67d,1071476.0620903214,521237.74549689237,2023-08-15 12-00
0xdcce2b585f3d15bc31925566121108dcfe819e48,1031262.9683185827,501675.402409036,2023-08-15 12-00
0x70a9f34b9c6e94cbb3eacdf262cee0831f10a78b,975052.6184026684,474330.9221164909,2023-08-15 12-00
0x99fd11191c8de6e6f90935a848d6003007dbaf7a,0,0,2023-08-15 12-00
0xdae1391ba9a9b67e6fe2c25f358c4ca3b3ffed93,946533.8161038593,460457.46591859614,2023-08-15 12-00
0x0a4dfffc51a8f8588e59c51fee29df42d2364bda,624754.1740448785,303922.28878508986,2023-08-15 12-00
0x893745c8970007f87f27b2a874c6e984437a83de,832751.92834227,405106.332324879,2023-08-15 12-00
0x0ed27270c4914877bf2a6cb3abf4ca493117acb8,819112.5631571518,398471.2312613702,2023-08-15 12-00
0xe3ebdd53c52d0619db96554bc51110d828228b4d,806637.7497218536,392402.64619394095,2023-08-15 12-00
0x4aad04d41fd7fd495503731c5a2579e19054c432,5830770.359767081,2836477.3646048126,2023-08-15 12-00
0x613629cdf3cef733016c7801eae9ccb5da652645,440952.1711095698,214508.67982315907,2023-08-15 12-00
0x119f742071d279a0daad1c496db1b502bb0436c7,0,0,2023-08-15 12-00
0x4385bf4e4ae27700c4a055836e1f16e9a2a81176,698330.8083453585,339714.8933433415,2023-08-15 12-00
0x3dbd15c29bcde617df3c4611b8c127108e5a667a,695039.14652372,338113.6084919545,2023-08-15 12-00
0x19049ceb58d5d0ca360fb5f6c46e9ee43b6accd3,657923.6419540336,320058.1403304529,2023-08-15 12-00
0xa22089ea702269b5bc4b49ab404df9532741a922,623212.7693824399,303172.4462831674,2023-08-15 12-00
0x295b0561dd8dc696eaeeb1b5d16ae29c0184b490,300096.64126994764,145987.1127886676,2023-08-15 12-00
0xf62c998253dd5d75bd7fc4311d8df21ab15c70d5,603240.5938427837,293456.6419649175,2023-08-15 12-00
0xc7d1900659b35e4c5583f25ef016d9caa568fd05,0,0,2023-08-15 12-00
0x43720c8db4c2e4ca7fa4f5709af36988bc1482ec,489561.6388808249,238155.58178143823,2023-08-15 12-00
0xcb063993fcb57986763166c56b9501e21327f6ce,578882.9134683794,281607.4342662221,2023-08-15 12-00
0xa94d1fca8c5583396601dbb02d12615e6f4859bd,576586.7098117633,280490.406961999,2023-08-15 12-00
0xc47d659610c84d20786de89236fff261d6d69e85,0,0,2023-08-15 12-00
0x4f49794a4fd42bab26a1740ca9c48022dd5ee21f,1148552.481359311,558732.8799494199,2023-08-15 12-00
0x3f85428dccc693155e3fafacff3e66a59f6f9a5a,0.02508394976962408,0.012202513792579717,2023-08-15 12-00
0xb411767ba120e06c2b6c3441e1fbbba82ef3cad4,0,0,2023-08-15 12-00
0xc4d0e41a6852cf3dfcc1fa6cc52877efbb2398f5,0,0,2023-08-15 12-00
0x72e332dac7abea59bf1f9e5fda58151a506cb978,402532.1470781368,195818.60599265996,2023-08-15 12-00
0x5dfe79c1aa3046d92f1d208677d9a862903e7c65,426270.58167967043,207366.57105796423,2023-08-15 12-00
0xc86b2257a32dd69c1d45f273c6424ce3015601b1,425096.3667401063,206795.3542389593,2023-08-15 12-00
0xe6bf4e939d0b9db76da62195c1ffe7bf869ace96,32.818713147383654,15.965220928668284,2023-08-15 12-00
0xeecd433a5c357fb25a81b688d5fcec1bec09fa7c,410535.49356453854,199711.96994786037,2023-08-15 12-00
0x9ad2afcf9f7d4625880a415cafb179b05e940579,403015.31692460476,196053.6521783617,2023-08-15 12-00
0xae89e059f87bd83d60e761c71ed481dd23c212de,96768.16525348986,47074.51904636945,2023-08-15 12-00
0x65da263720ec6819ea84302161b571a7281710e5,355910.3484249788,173138.63946725414,2023-08-15 12-00
0x52f04f639b23792fbcb96a695acacff0173f260b,123376.43400397329,60018.56372061087,2023-08-15 12-00
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,368474.71054317465,179250.78701380655,2023-08-15 12-00
0xff823e033adb6dd120333ced6c0e846d700e548a,372324.5517423099,181123.60771242625,2023-08-15 12-00
0x9605fbd9c8fbf7344485d38320a05cc392d5761e,342979.4831437901,166848.20022651015,2023-08-15 12-00
0xb86f6b74ddc3841af575325de8a2b3b28ac0f752,158344.10335079214,77029.1809247498,2023-08-15 12-00
0xc4e6c30e31fbe825bed5d0f03a4612badd743fb8,320336.27652746945,155833.0274334885,2023-08-15 12-00
0x402be96c77f4605955a35e6b9f366561f71db33e,319772.72461905726,155558.87802725894,2023-08-15 12-00
0x893c0ff5597c1ceb04e4fa957fba1309cbb3ba25,312299.9170723303,151923.6037584253,2023-08-15 12-00
0x89754202d38684811826124e558c70b674ef3014,158173.3657398627,76946.12271137378,2023-08-15 12-00
0xd09e6f00039bd88f5794b9dfab61f4cc205f627d,0,0,2023-08-15 12-00
0xb79b6d58efe477e56811da37141ba3186ac64dfa,310299.84158888215,150950.63303821872,2023-08-15 12-00
0x52e6bd876ae54313f81f1a21ec53dc2a18e6fbf9,0,0,2023-08-15 12-00
0x197203da685e65201c0b590c34d0b92946863fbf,296301.48832636105,144140.89612165987,2023-08-15 12-00
0xad60ae22da620346668b5a3e4acaf9041da2da1b,218162.4341436534,106128.82485056063,2023-08-15 12-00
0x404ffc1183e4bd64593213d29d201e2a9fa12f2c,0,0,2023-08-15 12-00
0x7e400c912c9f19ddbb81903881ec8c17734dff42,271711.41391661204,132178.6363937725,2023-08-15 12-00
0xe153789c1d8341f17b4abf5039253683ba64d7df,0,0,2023-08-15 12-00
0xddccf2341e4503af58788e7f71f82f69a0c65402,528893.8967598438,257289.42727507092,2023-08-15 12-00
0x6a1c5504aa57de395bbaaeac0aba67300d69eadc,0,0,2023-08-15 12-00
0x0c8615aba223094d2de13204a2784d6bc277def6,257824.8044041958,125423.25912409592,2023-08-15 12-00
0x70f926b869cc07f4b06951062de3bf1766aab3cb,238925.34160736637,116229.2941557107,2023-08-15 12-00
0x67f09c27016f87ce5737782a684da673b526d12e,417389.3771676832,203046.15814263135,2023-08-15 12-00
0xe2b40fa787ba180a1b79d6c1343cc9403b7adbb7,418466.75315702334,203570.26600803767,2023-08-15 12-00
0x0d630ca9f913bf2aca031fda3376f670d73cf283,241504.1344080445,117483.79175307819,2023-08-15 12-00
0x9e6db6895535f70f6966e8bce37a0a3e20df0294,227609,110724.26740299999,2023-08-15 12-00
0xa649f5cfa38432d70f47484bf80d808eb257a154,0,0,2023-08-15 12-00
0xc06e78dcc04190e78cc4898234a7c84880ca0da8,151326.82058195997,73615.50442804431,2023-08-15 12-00
0x8223a32ed93cf9c89ccdb159c13c8fb485a61665,0,0,2023-08-15 12-00
0x12f171272d878958c13c6f5040e68f662c3047c0,227156.72638273443,110504.25121322967,2023-08-15 12-00
0x26f5ce98b6e6515e943b53020857ac617662740e,223041.26739130745,108502.21622404717,2023-08-15 12-00
0xc883f1d13bd8ccad5a3c95bdcf1f69ea9452a26f,216704.28131311203,105419.48161754567,2023-08-15 12-00
0x49848b562143d5c7f887220ed0cdcbbd496e6a81,209909.35930827085,102113.9762946166,2023-08-15 12-00
0x5f2b5b9736dde361f53338ede72ab9ff822a22db,209568.21148690305,101948.01913739926,2023-08-15 12-00
0xd065c281f14de881b4f5e25ab75aaba7f53f76b5,0,0,2023-08-15 12-00
0x0222bffd588171faf8ec3f13267581ebdd56b41b,182835.88778136123,88943.62582133546,2023-08-15 12-00
0x14d2fe88de6520d5ea5c9c827d347e39ecf1117e,175447.28263613064,85349.31324215056,2023-08-15 12-00
0x2879bfd5e7c4ef331384e908aaa3bd3014b703fa,158535.47612231254,77122.277462793,2023-08-15 12-00
0xcb5e94aed0a4988106342ba680c8a219a431ee5e,156861.05416421877,76307.72643610502,2023-08-15 12-00
0xa87e3632e0a46b636cf1d59fe39d5c6de39d0a3c,153341.13566254792,74595.40224235269,2023-08-15 12-00
0x660c153e141e54a9fbf950796347d62a90f752f6,135969.30397789596,66144.57939821511,2023-08-15 12-00
0xff5a484c3490f02715ebed886dd464390a4397a7,0,0,2023-08-15 12-00
0xf505be37703fcd9a1c7f8e8f5921699963cb1450,0,0,2023-08-15 12-00
0x76c429f745abd6b0bd9b3bdee451038a0109ff73,116139.24534940232,56497.9102673877,2023-08-15 12-00
0xabd5dcb303185694bb92772f35670af6a92112b1,0,0,2023-08-15 12-00
0x6b18116fbeb586197f707545bb3e078fd35808e6,0,0,2023-08-15 12-00
0xdfb94147574868d6f0ec97260f74ddac132cc07e,43712.575838166595,21264.725630265388,2023-08-15 12-00
0xec15d94bfc46e788dc3f232f21264d648fb02346,114294.13194374689,55600.32348427872,2023-08-15 12-00
0xf044c32774b6dd6cbf5e25befe59e4affe2d7759,113006.14059367272,54973.758196182185,2023-08-15 12-00
0xf1d7bd98029f5cdcdc60d695a44ad42827f18eda,97080,47226.21636,2023-08-15 12-00
0x91453ac562951b28564341b3187365a7a511d597,104932.7584296562,51046.32419499956,2023-08-15 12-00
0x7dfbd308340880e9ebef746120f024284081ed39,105430.9763272013,51288.69076096463,2023-08-15 12-00
0x32d613eccdba32b5813845d0768bf1b2f351729b,104778.100674361,50971.088300754374,2023-08-15 12-00
0x5303e21dd05cc44eccf146f74c69d8199d2a7011,15.795552922143994,7.684015243376622,2023-08-15 12-00
0x762bfff5b40353273b4f105065c7e1fa7820dfa5,103599.68208034632,50397.82654257983,2023-08-15 12-00
0x6d55e81ad355f2cd59de9d70249d350365ba9e3d,103122.0388377028,50165.468867260766,2023-08-15 12-00
0x24ca142a6de916209076966454cc3c4af9b142ad,103547.81014240786,50372.592556546726,2023-08-15 12-00
0x816fbb2a8c2a81056c0e14cdbcc55d6a86565a40,0,0,2023-08-15 12-00
