Address,Average Locked Celo Balance,Average Locked Celo in USD
0xb7eb6bbdfa555a1065374b4a1aa2bc446a05f442,17006787.652084347,9252667.814846262
0x1ee3434e360baaa9f0f693e15aafb2985513177a,16667452.827635648,9072565.893572215
0x7034589832c20dad66533f53319009bbcf34e45f,15140221.22142761,8266888.381394784
0x3fa7c646599f3174380bd9a7b6efcde90b5d129d,13605741.398105392,7561045.488774422
0xef283eca68de87e051d427b4be152a7403110647,12658882.984358652,6894145.880791299
0x7cf091c954ed7e9304452d31fd59999505ddcb7a,11208966.124091199,6135890.2661955105
0xfc89c17525f08f2bc9ba8cb77bcf05055b1f7059,10633421.625409115,5911115.418681875
0xa5d2944c32a8d7b284ff0b84c20fdcc46937cf64,9679608.680269385,5297362.233561954
0x282f95ada81610be70d7e1e8557f96866404a632,9241508.561261402,5175018.938599243
0xb234e017ad9e29687474196a93d5c7df24415902,9210172.060034355,4998421.117235706
0x7ae2f01ab6b6681148b50248d0b99a6abc5a09d5,8671924.96077073,4715256.699420306
0xbdaccf951c8a219fc69ce8f171a61a3ddaefeb39,8619552.636043854,4686789.246107317
0xd136f21f87c7d36cc0b488fb9b21d14fa86d27dc,8227677.34427381,4598164.970739476
0xef268b5c05452d63a17da12f562368e88a036ef1,8036810.041605115,4373451.709048636
0xc97e88e4803775e87701eedf5bdef8f4a9c89876,7581129.39626284,4632389.403748636
0x989e1a3b344a43911e02ccc609d469fbc15ab1f1,7182893.800156839,3933507.305307193
0xf8ed78a113cd2a34df451ba3d540ffae66829aa0,7063269.290503205,3845579.317106579
0x489dca840aa686cf055c342c165e9358889840de,6740225.598670412,3665221.489652702
0x5c80858a7a1a730ef6e5d1408f4aed1d5512b080,6323284.221018195,3438204.7209405224
0x1dec9eae55fe9348bc195a57df03f1cd51fe13d1,5381469.1282632835,2923542.0111234654
0x62af3bbfbc1c0e4bcb846962ae41c5e959383b67,4806257.725434761,2613339.3860166306
0xd22eb6784c69d69275e081283f49c9f46c4b86ea,3956100.382822462,2151141.7700255094
0x244d46d45050e451d0e759b1cfd0b2c08818ca38,3409801.5621788637,1854060.849637578
0x4aad04d41fd7fd495503731c5a2579e19054c432,2762884.262971997,1404674.1532311896
0x7c65c6ab0b31da12e4be4213090caac4db1ae413,2274883.724606213,1014497.8591963188
0x1901e33fc0c9da7515d98d0cc152b6f40565189f,1958722.504887743,1058219.9528204119
0x4f369ee454c77ccf765792382b909ed888c57a47,1865941.938675864,1034091.2677596564
0x70c657b8fe399e20899789321e3be8413cd71987,1715088.6416225142,991636.0486509212
0x7dc2f3edebfb21e7a784ef8954b66fbcd9dee407,1599998.3727697365,871057.5141171315
0x1c810f2aa829c874974ec449a965c6e5dbb301b8,1512577.6750594939,810115.5692868107
0x41692e7f519764558325185db73f44d4e37a606d,1498797.1478643164,814951.2244079463
0x9033ff75af27222c8f36a148800c7331581933f3,1324879.5232279904,720334.1307243608
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,1218361.5363468432,660363.3333402163
0xa21112df21627887d6c19fe604c6b1ca1617ed5b,1096694.6374149078,596311.659771886
0xd7aec34bef3596da90cf400b9fbb3521b23c6e16,1096442.4858790622,596182.5854491524
0x2268c440b7557a7d199976835daee17b4a59a597,1096316.2642850785,596115.8904210539
0x3c9e737a5c8196a9a2195497f47c460896d8d969,1096313.0268010844,596119.7182174852
0xe570bee58d7a53a30f21a747d6e7ce0f85b38ac8,1096184.360383052,596051.3322190493
0x0f4c32ebfd5ab18c28f17a2242d80f50e5f33b0d,1096105.3843456816,596007.2879279818
0x151d81ae1709e52a0356138e221a0bc60b283114,1095416.6796751507,595634.9770495726
0x28a62d2f5f319eae85421d2c783620f00eaa792e,1094804.768051057,595443.7719128622
0xebe9c48d7fe2238c8dcb44472accbe63380a9ae4,1091471.2876463784,593487.2287418301
0xf00eb5e591dd4f23df2ce92ab3ef0948281bb67d,1059466.4854718298,576058.0030998635
0x2f0d3b6bbfb7affbfbe206259578a8f3c24d1df5,1021794.9717794737,566235.4274585935
0xdcce2b585f3d15bc31925566121108dcfe819e48,1021658.3908687023,555619.0001218527
0x7b498a5f2ea7f90bb8a75849e42ae26a764e304f,1011476.3158052377,465330.5002348915
0x2d0078cbf9026856ea5a0fc54dd78e10da83c633,995647.8181632628,554315.8036510322
0x0574619967528f41900698e93c21d90fd564e8aa,967029.3487471691,584521.1785094807
0x70a9f34b9c6e94cbb3eacdf262cee0831f10a78b,964736.3494037095,524635.4598699365
0xdae1391ba9a9b67e6fe2c25f358c4ca3b3ffed93,935576.6756198985,508712.69337154255
0x73d7425f496e13622cb974957d10354b5e690ae9,891283.2754808711,410035.56509547477
0x55b6a4a52f6aec803225456c6f7a9e9fe7d5c151,888358.176884719,408689.8712079889
0xaae9f9850a2f742fada295cb5816463fa59e8f5a,873291.6204519399,504967.8280961072
0xbd5cac2afcc30d2c32e7a1afdfa85e5f6bb22f98,852751.704381178,392309.1138915575
0x093b5b468272132b2fc5484f9b7ba167b37e0447,846988.9567245981,389662.39104148024
0x4f49794a4fd42bab26a1740ca9c48022dd5ee21f,833835.3082226776,427656.30230471725
0x893745c8970007f87f27b2a874c6e984437a83de,823941.2435797966,448069.3550642875
0x0ed27270c4914877bf2a6cb3abf4ca493117acb8,809602.2050324372,440204.1383075618
0x6d43609bf7c7b1b0e1f29d6b1922e23d3a37ec39,795023.8972281246,466650.9721666565
0xefc4c433061298417f6640f156bdc26e9cb5f584,751758.4023931748,345847.0385571288
0xe3ebdd53c52d0619db96554bc51110d828228b4d,731078.33788827,405868.2726396406
0xca7503a623b800713fe627d7b71ae6bf27596384,724049.5838099833,333099.59883829823
0x99fd11191c8de6e6f90935a848d6003007dbaf7a,698632.9522696749,403974.0635203871
0x4385bf4e4ae27700c4a055836e1f16e9a2a81176,690386.955183593,375404.8986286092
0x3dbd15c29bcde617df3c4611b8c127108e5a667a,687685.4810240143,373971.79945164087
0x6e14a03418c3cee8d09844348ce7e37c93ffaf5a,681082.2011164777,313332.39711088745
0x0a4dfffc51a8f8588e59c51fee29df42d2364bda,663040.6232123423,359169.12635895144
0x613629cdf3cef733016c7801eae9ccb5da652645,659897.3295198926,366565.5318183335
0x4de2ff913645c4aab35f224083f3b6d34891ccf1,631636.491394466,290584.88064864744
0xa22089ea702269b5bc4b49ab404df9532741a922,615937.5157786016,334907.9182315083
0xf62c998253dd5d75bd7fc4311d8df21ab15c70d5,596236.6308456863,324191.1035782237
0xd10a18a25f6d3ab1d1ab6de4a5684eca500f7322,588942.2942936831,292505.152939454
0xcb063993fcb57986763166c56b9501e21327f6ce,574964.9464001594,312741.3774591174
0xa94d1fca8c5583396601dbb02d12615e6f4859bd,573419.6417399911,311960.3440756461
0x6999d581a65b10d7b33a7cee5a5e06fb58d1d2df,550000,231218.35
0x19049ceb58d5d0ca360fb5f6c46e9ee43b6accd3,544469.2844934358,279704.04421790905
0x43720c8db4c2e4ca7fa4f5709af36988bc1482ec,508455.45633331005,276710.8741894709
0x3ce03f17a9c6ecec6674efbd4e3e9adf7094ce96,504556.6734295191,232121.69060475778
0xd5f53937886be426b9227d4413f5aea08062c145,502219.77406220674,230573.23237959188
0x3052ce520943779d70f21d4a1a7b0bcbb5d24c0b,497359.0196792727,228810.40439078552
0x72e332dac7abea59bf1f9e5fda58151a506cb978,439478.78634022345,240783.65632973704
0x5dfe79c1aa3046d92f1d208677d9a862903e7c65,421300.5367360104,229077.07823776026
0xc86b2257a32dd69c1d45f273c6424ce3015601b1,420140.6660070973,228446.44029468953
0xeecd433a5c357fb25a81b688d5fcec1bec09fa7c,405775.0581545487,220636.9060185391
0xe2b40fa787ba180a1b79d6c1343cc9403b7adbb7,399611.8426074101,218956.45564989434
0x67f09c27016f87ce5737782a684da673b526d12e,399331.8116318784,218853.10080929377
0x9ad2afcf9f7d4625880a415cafb179b05e940579,398309.01617130684,216575.31977438903
0xddccf2341e4503af58788e7f71f82f69a0c65402,394264.49171888875,203406.5456299973
0xff823e033adb6dd120333ced6c0e846d700e548a,359804.7654446089,195317.8936266053
0xc47d659610c84d20786de89236fff261d6d69e85,355506.99402540835,212845.93900499065
0x65da263720ec6819ea84302161b571a7281710e5,352144.7394469934,191500.6285756127
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,346843.4445884144,184576.5607446851
0x3f85428dccc693155e3fafacff3e66a59f6f9a5a,344326.7017116779,202096.008355302
0x9605fbd9c8fbf7344485d38320a05cc392d5761e,338975.15346330055,184313.28855508604
0x295b0561dd8dc696eaeeb1b5d16ae29c0184b490,325317.94657847605,174180.1535928614
0xc4e6c30e31fbe825bed5d0f03a4612badd743fb8,316595.4786068488,172144.6521032666
0x402be96c77f4605955a35e6b9f366561f71db33e,316038.5077008444,171841.80645535118
0x893c0ff5597c1ceb04e4fa957fba1309cbb3ba25,308920.92906152486,167955.58594461807
0xb79b6d58efe477e56811da37141ba3186ac64dfa,306677.4670938489,166751.83673960756
0xebeb1aba448d3b4d1a7159970418f4e541e32c29,303471.2154922794,173849.46541835688
0x197203da685e65201c0b590c34d0b92946863fbf,292836.53845066146,159225.553774416
0x5cc339aca35dbe1b19229f4acf906b6a25742693,284794.1016284148,151610.82695839118
