Address,stCELO Balance,stCELO in USD (approximate),Contract,Snapshot Time
<a href=https://celoscan.io/address/0x8a1639098644a229d08f441ea45a63ae050ee018 target=_blank>0x8a1639098644a229d08f441ea45a63ae050ee018</a>,526714.8946836797,403487.31149795937,yes (but no data on dune),2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x08bafb4400a102dddc5e5d584abf0aa38e174c57 target=_blank>0x08bafb4400a102dddc5e5d584abf0aa38e174c57</a>,129682.18205266085,99342.38715053057,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x9176779f5617db41cc11aef0d46e2113b682b55c target=_blank>0x9176779f5617db41cc11aef0d46e2113b682b55c</a>,82130.00038052925,62915.27614150253,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xdc5762753043327d74e0a538199c1488fc1f44cf target=_blank>0xdc5762753043327d74e0a538199c1488fc1f44cf</a>,64845.04952563059,49674.22596386168,RebasedStakedCelo,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x7c9b206accb51f8d809d904f439bfaaaeb904f2a target=_blank>0x7c9b206accb51f8d809d904f439bfaaaeb904f2a</a>,64499.24299342812,49409.32259890064,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xf3cf9f6ede5091b640b8d2eb8c165e13f043cbeb target=_blank>0xf3cf9f6ede5091b640b8d2eb8c165e13f043cbeb</a>,58008.79471358094,44437.34714636511,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x49d65f50c6445cdbaa04c907973b81681473f948 target=_blank>0x49d65f50c6445cdbaa04c907973b81681473f948</a>,47428.031067107324,36332.00605880223,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x8df8ca37b0ccd6ef4dc0e9a010bfd02e517c2e75 target=_blank>0x8df8ca37b0ccd6ef4dc0e9a010bfd02e517c2e75</a>,38994.35324674142,29871.42933290003,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x46c5cfc2079309f4e7d9476a01730a60e2f1a164 target=_blank>0x46c5cfc2079309f4e7d9476a01730a60e2f1a164</a>,34753.33693247457,26622.619990437484,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xd28c7edf73e247dcbb324f3d467e27ecd302d9de target=_blank>0xd28c7edf73e247dcbb324f3d467e27ecd302d9de</a>,34130.16887350485,26145.245214704024,,2024-01-15 12:00:00.000
